prompt,name,size,form,processor,memory,io,manufacturer,summary
What COMs are recommended for high-performance computing in harsh environments?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Which SBCs are best suited for educational and DIY projects?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Which SBCs are best suited for educational and DIY projects?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Which SBCs are best suited for educational and DIY projects?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
Which SBCs are best suited for educational and DIY projects?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
Which SBCs are best suited for educational and DIY projects?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
What development kits provide support for LoRa and other low-power WAN technologies?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
What development kits provide support for LoRa and other low-power WAN technologies?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
What development kits provide support for LoRa and other low-power WAN technologies?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
What development kits provide support for LoRa and other low-power WAN technologies?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
What development kits provide support for LoRa and other low-power WAN technologies?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Which Computer on Modules (COMs) are suitable for healthcare devices?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Which Computer on Modules (COMs) are suitable for healthcare devices?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Which Computer on Modules (COMs) are suitable for healthcare devices?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
Which Computer on Modules (COMs) are suitable for healthcare devices?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
Which Computer on Modules (COMs) are suitable for healthcare devices?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
What SBCs can be recommended for AI-powered security camera systems?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
What SBCs can be recommended for AI-powered security camera systems?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
What SBCs can be recommended for AI-powered security camera systems?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
What SBCs can be recommended for AI-powered security camera systems?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
What SBCs can be recommended for AI-powered security camera systems?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Which DevKits are best suited for learning wireless communications and IoT?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Which DevKits are best suited for learning wireless communications and IoT?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Which DevKits are best suited for learning wireless communications and IoT?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
Which DevKits are best suited for learning wireless communications and IoT?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
Which DevKits are best suited for learning wireless communications and IoT?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
What are the best Computer on Modules (COMs) for autonomous vehicle applications?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
What are the best Computer on Modules (COMs) for autonomous vehicle applications?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
What are the best Computer on Modules (COMs) for autonomous vehicle applications?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
What are the best Computer on Modules (COMs) for autonomous vehicle applications?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
What are the best Computer on Modules (COMs) for autonomous vehicle applications?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Which single board computers offer the highest memory capacity and what is their size/form factor and manufacturer?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Which single board computers offer the highest memory capacity and what is their size/form factor and manufacturer?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Which single board computers offer the highest memory capacity and what is their size/form factor and manufacturer?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
Which single board computers offer the highest memory capacity and what is their size/form factor and manufacturer?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
Which single board computers offer the highest memory capacity and what is their size/form factor and manufacturer?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Could you provide single board computers that are compatible with WiFi modules?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Could you provide single board computers that are compatible with WiFi modules?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Could you provide single board computers that are compatible with WiFi modules?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
Could you provide single board computers that are compatible with WiFi modules?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
Could you provide single board computers that are compatible with WiFi modules?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
Can you list some Development Kits that are suitable for evaluating high-efficiency step-down regulators?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
Can you list some Development Kits that are suitable for evaluating high-efficiency step-down regulators?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
Can you list some Development Kits that are suitable for evaluating high-efficiency step-down regulators?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
Can you list some Development Kits that are suitable for evaluating high-efficiency step-down regulators?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
Can you list some Development Kits that are suitable for evaluating high-efficiency step-down regulators?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
What development kits support multiple phases for power supply design?,Computer On Modules,95 x 95 mm,COM Express Compact Module Type 6,6th Gen Intel Core / Celeron Processors,"Dual Channel DDR4 SODIMM sockets, up to 32GB","SATA Ports: 2 (Gen3 6Gb/s, Gen2 3Gb/s), USB Ports: 8 (4 USB 3.0, 4 USB 2.0), PCI Express: 1 x16 PEG, 7 x1 PCIe, HD Audio, LPC, SMBus, I2C Bus, Ethernet: Intel i219LM (10/100/1000 Mbps)",Advantech,"A high-performance, low-power Computer On Module with 6th Gen Intel Core and Celeron Processors, supporting dual channel DDR4 memory, multiple display outputs, and extensive I/O interfaces."
What development kits support multiple phases for power supply design?,Computer On Modules,125 x 95 mm,COMExpress Basic Module,Intel Core i7/i5/i3/Celeron,"Dual Channel DDR3L SODIMM sockets, up to 16GB","PCIe x16, PCIe x1, SATAIII, USB 2.0, USB 3.0, GbE, VGA, LVDS, DVI, HDMI, DisplayPort",Advantech,"A COMExpress Basic Module with Intel Core i7/i5/i3/Celeron processors, dual channel DDR3L memory support, and extensive I/O options."
What development kits support multiple phases for power supply design?,Not available,95 mm x 125 mm,COM Express Basic Module,Intel Xeon D (Ice Lake-D),"DDR4, Max Capacity: 128 GB, Socket: 2 x 260P SODIMM, Dual Channel, ECC/Non-ECC","4 x SATA Ports (6 Gbps), 8 x USB Ports (4 x USB 3.0, 4 x USB 2.0), 1 x LPC, 1 x SPI Bus, 1 x GPIO (8-bit), 1 x Watchdog Timer, 2 x COM Ports, 2 x Ethernet (10GBASE-KR, 1GBASE-T), 32 x PCIe Gen3 lanes",Advantech,"High-performance COM Express Basic Module with Intel Xeon D processors, extensive I/O, and robust thermal management."
What development kits support multiple phases for power supply design?,COMebBD Module,125mm x 95mm,COM Express BASIC TYPE,Intel Xeon Processor Dxx family,"DDR4, up to 32GB ECC SODIMMs","4x USB 3.0, 4x USB 2.0, 4x PCIe Gen3, 4x PCIe Gen2, 2x SATA, 2x GbE",Kontron,"The COMebBD Module is a high-performance Computer on Module featuring Intel Xeon processors, supporting up to 32GB DDR4 ECC memory, and offering extensive I/O options including USB, PCIe, SATA, and GbE."
What development kits support multiple phases for power supply design?,ET COM Express,95 mm x 125 mm,COM Express Type 6,8th Generation Intel Xeon E & Core i3/i5/i7,"2 x DDR4 SODIMM, Max 32GB","4 x USB 3.1, 8 x USB 2.0, 4 x COM, 4 x SATA III, 2 x PCIe x4, 1 x PCIe x16, 2 x GbE LAN",IBASE,"High-performance COM Express Type 6 modules with 8th Generation Intel Xeon E & Core i3/i5/i7 processors, extensive I/O, and display support."
