name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
AGS,ADVANTECH,RACKMOUNT,False,X86,4,INTEL,W TDP,DDR NonECCECCREG DIMM maximum GB,16 GB eMMC Flash for O.S. and 8 MB QSPI NOR Flash for board information,AC V,"['USB x USB, USB x USB, PS COM, Disaplay x VGA, RJ sharing NIC IPMI']",WiFi,Ubuntu Core,C,C,PLUS Platinum,Intel Xeon E v GPU server with x PCIe x doubledepth card x PCIe x singledepth FHHL card,Dual Intel Xeon E v series cores threads Memory DDR MHz NonECCECCREG type GB Remote Management IPMI function support Expansion Supporting PCIe x doubledeck card PCIe x singledeck FHHL card PSU W redundant power supply PLUS Platinum level certification,GPU Servers Features AGS Specifications Processor System Chipset Intel CJ Chipset CPU Dual Intel LGA Xeon v processor W TDP L Cache Up MB Memory x DDR NonECCECCREG DIMM maximum GB Graphics Controller Aspeed AST VRAM MB Expansion Slot Slot location Upper Middle slot PCIe x slot Gen x link FHHL expansion cards Slot location Lower Right slot PCIe x slot Gen x link doubledeck HL expansion cards Slot location Upper Left slot PCIe x slot Gen x link doubledeck HL expansion cards Slot location Slot location Slot location Lower Left slot PCIe x slot Gen x link doubledeck HL expansion cards Drive Bay Hotswap Front Accessible Internal Ethernet Interface x Mbps Gigabit Ethernet Controller x Intel LM x Intel IAT Front IO Interface USB x USB Rear IO Interface USB x USB PS COM Disaplay x VGA RJ sharing NIC IPMI Internal connector TypeA USB COM LPC Watchdog Timer Output Interrup system reset Interval Programmable sec Power Supply Power Output Wattage PLUS Platinum redundant Power Supply W V W V Input Range AC V Cooling Chassis Fan x x x x high speed fan Air Filter Miscellaneous LED Indicators Power status HDD activity LAN status location error message Remote Management Advantech Remote Monitoring Utility Environment Operating NonOperating Temperature C F C F Humidity C C Vibration Hz Grms G Shock G ms duration half since wave G Physical Characteristics Dimension D x W x H x x mm U Rackmount Intel Xeon E v GPU server Supporting x PCIe x doubledepth card x PCIe x singledepth FHHL card Processor Dual Intel Xeon E v series cores threads Memory DDR MHz NonECCECCREG type GB Remote Management IPMI function support Expansion Supporting PCIe x doubledeck card PCIe x singledeck FHHL card PSU W redundant power supply PLUS Platinum level certification All product specifications subject change without notice Last updated Oct wwwadvantechcomproductsOnline Download Dimensions Unit mm inch AGS Ordering Information Part Number HDD VGA Chip RJ IPMI Power supply AGSIRAE AST YES W RPS System Contents Items Advantech PN Quantity CPU heatsink N CPU heatsink N Slide rail kit Power cable expansion card Preassembled system Driver CD I Startup manual I Front View Inside View Rear View Lower Right slot Upper Middle slot Lower Left slot Upper Left slot,IoT sensor devices
MICG GPU EXPANSION MODULE AI EDGE COMPUTING MIC SERIES,ADVANTECH,Compact size design,Commercialization,Not Available,Not Available,NVIDIA,Not Available,Not Available,2x swappable storage bay,Dual VDC,['Not Available'],Not Available,Not Available,Up to 50C,Not Available,IP rating,The MICG GPU Expansion Module AI Edge Computing MIC Series supports NVIDIA double-deck high-performance W GPU cards. It has a robust power design and dual VDC power inputs for reliable power.,"The MICG GPU Expansion Module AI Edge Computing MIC Series is designed for new AI applications. It supports NVIDIA double-deck high-performance W GPU cards. The module has a robust power design that ensures system and GPU cards reliability in high power consumption scenarios. It features dual VDC power inputs, versatile wall-mount and table-mount options, and dual front-accessible storage bays for easy swap. The module can operate at temperatures up to 50C and has an IP rating, making it suitable for outdoor industrial environments.","The MICG GPU Expansion Module AI Edge Computing MIC Series is a powerful GPU solution designed for new AI applications. It supports NVIDIA double-deck high-performance W GPU cards and has a robust power design that ensures system and GPU cards reliability in high power consumption scenarios. The module features dual VDC power inputs, versatile wall-mount and table-mount options, and dual front-accessible storage bays for easy swap. It can operate at temperatures up to 50C and has an IP rating, making it suitable for outdoor industrial environments. The module also has a compact size design and comes with a startup manual.","AI applications, Industrial environments"
TINKER EDGE R,NXP,SINGLE BOARD COMPUTER,Commercialization,ARM,Quadcore,NXP,Not Available,"LPDDR4, 4GB","eMMC, 16GB",5V DC,"['1x USB Gen 2 Type-A, 1x USB Gen 2 Type-C OTG, 1x Ethernet, 1x HDMI, 1x 40-pin GPIO Header']","['Wi-Fi abgnac', 'Bluetooth']",Mendel,60 C,0 C,Not Available,"Tinker Edge R is a single board computer with NXP iMX 8M Quadcore SoC, Google Edge TPU, 4GB RAM, 16GB eMMC, HDMI, MIPI-DSI, MIPI-CSI, and 5V DC power input.","Tinker Edge R is a single board computer equipped with NXP iMX 8M Quadcore SoC and Google Edge TPU. It has 4GB LPDDR4 RAM and 16GB eMMC storage. The board supports multiple I/O interfaces including USB, Ethernet, HDMI, and GPIO. It also has wireless capabilities with Wi-Fi and Bluetooth. The operating system supported is Mendel.","Tinker Edge R is a single board computer that features NXP iMX 8M Quadcore SoC and Google Edge TPU. It has 4GB LPDDR4 RAM and 16GB eMMC storage. The board supports multiple I/O interfaces including USB, Ethernet, HDMI, and GPIO. It also has wireless capabilities with Wi-Fi and Bluetooth. The operating system supported is Mendel. The board operates at a temperature range of 0 to 60 C and requires a 5V DC power input.",Not Available
UBC-DS,ADVANTECH,BOX,False,ARM Cortex-A,2,NXP,Not Available,2GB DDR,4GB eMMC,12V DC,"['1x HDMI', '1x VGA', '1x Ethernet', '1x USB', '1x Audio Lineout', '1x SDIO', '1x Serial Port', '1x Mini PCIe port', '1x SIM port']",Not Available,Linux SUSIAccess Signage,Not Available,Not Available,"['CE', 'FCC Class B', 'RoHS COMPLIANT EC']","The UBC-DS is a RISC-based signage box powered by an NXP ARM Cortex-A i.MX dual-core processor. It features onboard 2GB DDR memory, 4GB eMMC storage, and full HD video capabilities.","The UBC-DS is a compact, low power consumption, fanless design signage box that supports wall mounts and VESA standard mounts. It comes preloaded with SUSIAccess Signage and UPoster software for remote management and signage player control capabilities.","The UBC-DS is a RISC-based signage box powered by an NXP ARM Cortex-A i.MX dual-core processor. It features onboard 2GB DDR memory, 4GB eMMC storage, and full HD video capabilities. The compact design supports flexible mounting options including wall mount brackets and VESA standard mounts. It comes preloaded with SUSIAccess Signage and UPoster software for remote management and signage player control capabilities. The UBC-DS also features a variety of I/O interfaces including HDMI, VGA, Ethernet, USB, Audio Lineout, SDIO, Serial Port, Mini PCIe port, and SIM port.",Not Available
AMI TH/TH GEN INTEL CORE III DESKTOP PROCESSORS W TDP COMPACT EXPANDABLE FANLESS SYSTEM,IBASE,Compact Expandable Fanless System,False,Intel Core iii,Not Available,INTEL,W TDP,2x GB DDR SODIMM Max GB,"1x HDD/SSD, 1x internal, 1x external/accessible, 1x mSATA AMIAF, 1x mSATA AMIEF",V - V DC,"['Multiple IO interfaces including DVID, VGA, Audio jack, USB ports, SIM card slots, terminal block, RS/RS port, DisplayPort connector, RJ Gigabit Ethernet port']",Not Available,Not Available,50 C,0 C,"['CE', 'LVD', 'FCC ClassB']","A compact, expandable, fanless system with th/th Gen Intel Core iii desktop processors, W TDP, and a variety of IO interfaces.","This system features a fanless design, IBASE MB customized board, th/th Gen Intel Core iii processors, W TDP, three independent display outputs, flexible expansion slot system, dual SIM slots, and supports RAID. It has a wide-range voltage input and over/under/reverse voltage protection. It also includes iSMART, iAMT, TPM.","The AMI th/th Gen Intel Core iii Desktop Processors W TDP Compact Expandable Fanless System is a robust and versatile system designed for a variety of applications. It features a fanless design for silent operation, a wide range of IO interfaces for connectivity, and a flexible expansion slot system for added functionality. It also supports RAID for data redundancy and has dual SIM slots for WWAN redundancy. The system is built with an aluminum steel chassis for durability and includes iSMART, iAMT, TPM for enhanced security and management.",Not Available
RSB,ADVANTECH,SBC,False,ARM Cortex A,Not Available,TI,Not Available,DDR3 800 MHz 512 MB,"1 GB eMMC NAND Flash, 512 MB SPI NOR Flash",12 VDC,"['2 x USB HOST OTG', '2 x Serial Port', '1 x CAN bus', '1 x GPI', '1 x GPO', '1 x Mini PCIe socket', '1 x SD slot']",Not Available,Linux,70 C,-20 C,"['CE', 'FCC Class B', 'RoHS COMPLIANT', 'EC']","The RSB is a RISC SBC integrated with TI Sitara AM Cortex A processors. It offers multiple power inputs, operating temperature support, and is ideal for automation control, smart grid, and machinery automation applications.","The RSB series comprises RISC SBCs integrated with TI Sitara AM Cortex A processors. Units offer 2 x gigabit Ethernet, 2 x serial ports, 1 x GPI, 1 x GPO. For industrial applications, serial port and GPIO feature rugged ESD isolation to protect the system from unstable power damage. Also, RSB has multiple power inputs, operating temperature support, and even supports single channel 24 bit LVDS at 1366 x 768 resolution. It is an ideal solution for automation control, smart grid, and machinery automation applications.","The RSB series comprises RISC SBCs integrated with TI Sitara AM Cortex A processors. Units offer 2 x gigabit Ethernet, 2 x serial ports, 1 x GPI, 1 x GPO. For industrial applications, serial port and GPIO feature rugged ESD isolation to protect the system from unstable power damage. Also, RSB has multiple power inputs, operating temperature support, and even supports single channel 24 bit LVDS at 1366 x 768 resolution. It is an ideal solution for automation control, smart grid, and machinery automation applications. The product comes with onboard DDR3 800 MHz 512 MB memory and 1 GB eMMC NAND Flash, 512 MB SPI NOR Flash storage. It operates at a voltage of 12 VDC and has an operating temperature range of -20 C to 70 C. It is certified by CE, FCC Class B, RoHS COMPLIANT, and EC.","['Automation Control', 'Smart Grid', 'Machinery Automation']"
CEM COM EXPRESS TYPE COMPACT MODULE AMD RYZEN EMBEDDED V PROCESSOR,AXIOMTEK CO. LTD,COM EXPRESS TYPE COMPACT,False,AMD RYZEN EMBEDDED V,Not Available,AMD,Not Available,DDR SODIMM GB,Not Available,V - V,"['SATA', 'USB', 'USB', 'TPM', 'PCIe', 'LPC', 'SPI', 'TX/RX', 'IC', 'GPIO']",Not Available,Not Available,C,C,Not Available,"The CEM COM Express Type Compact Module features an AMD Ryzen Embedded V processor, DDR SODIMM GB memory, and a wide voltage input of V - V.","The CEM COM Express Type Compact Module is a powerful and versatile embedded system module. It features an AMD Ryzen Embedded V processor, DDR SODIMM GB memory, and a wide voltage input of V - V. It also supports a variety of I/O interfaces including SATA, USB, USB, TPM, PCIe, LPC, SPI, TX/RX, IC, and GPIO.","The CEM COM Express Type Compact Module is a high-performance embedded system module designed for versatile industrial computing applications. It features an AMD Ryzen Embedded V processor, DDR SODIMM GB memory, and a wide voltage input of V - V. The module supports a variety of I/O interfaces including SATA, USB, USB, TPM, PCIe, LPC, SPI, TX/RX, IC, and GPIO. It also supports TripleView and Full Solid Cap Design. The module is designed for a wide range of temperatures, from C to C.",Not Available
ASB FANLESS SYSTEM,IBASE,SINGLE BOARD COMPUTER,Not Available,Not Available,Not Available,INTEL,Not Available,8 GB DDRL,64 GB MLC SSD,12V - 24V DC,"['1 x COM, 1 x USB port Type-C, 2 x USB ports, 1 x DisplayPort, 1 x RJ GbE connector']",Not Available,Not Available,50C,0C,"['CE', 'LVD', 'FCC ClassB']","The ASB Fanless System is a single board computer manufactured by IBASE. It features an Intel Core U Processor, 8GB DDRL memory, and 64GB MLC SSD storage. It operates at a temperature range of 0C to 50C and has certifications including CE, LVD, and FCC ClassB.","The ASB Fanless System is a robust single board computer designed by IBASE. It is equipped with an Intel Core U Processor, 8GB DDRL memory, and 64GB MLC SSD storage. The system operates at a temperature range of 0C to 50C and can withstand vibrations and shocks. It has multiple I/O interfaces including COM, USB ports, DisplayPort, and RJ GbE connector. The system is certified with CE, LVD, and FCC ClassB standards.","The ASB Fanless System is a high-performance single board computer designed by IBASE. It is powered by an Intel Core U Processor and comes with 8GB DDRL memory and 64GB MLC SSD storage. The system operates at a temperature range of 0C to 50C and can withstand vibrations and shocks. It has multiple I/O interfaces including COM, USB ports, DisplayPort, and RJ GbE connector. The system is certified with CE, LVD, and FCC ClassB standards and comes with a 12V - 24V DC power input. The system is housed in an aluminum and steel chassis and can be mounted on a desktop or wall.",Not Available
CORE DEVELOPMENT KIT,MICROSEMI CORPORATION,Not Available,True,ARM CORTEX-M,Not Available,Not Available,Not Available,Not Available,Not Available,5V,['Not Available'],Not Available,Not Available,Not Available,Not Available,ROHS,The Core Development Kit from Microsemi Corporation allows to evaluate the functionality of CoreBRM without creating a complete MIL-STD-B compliant system.,"The Core Development Kit includes a Core Daughter Card, Fusion Advanced Development Board, FlashPro-compatible low-cost programming stick, USB A to mini B, 5V power supply, and a Quickstart card. It is designed for easy evaluation of the CoreBRM functionality without the need to create a complete MIL-STD-B compliant system.","The Core Development Kit is a comprehensive solution from Microsemi Corporation for evaluating the functionality of CoreBRM. The kit includes a Core Daughter Card, Fusion Advanced Development Board, FlashPro-compatible low-cost programming stick, USB A to mini B, 5V power supply, and a Quickstart card. The kit is RoHS compliant and is designed for easy evaluation of the CoreBRM functionality without the need to create a complete MIL-STD-B compliant system.","Aerospace, Defense, Communications, Data Center, Industrial Markets"
OPENQ DEVELOPMENT KIT,INTRINSYC TECHNOLOGIES CORPORATION,Not Available,True,Not Available,Not Available,QUALCOMM,Not Available,Not Available,Not Available,5V,['Not Available'],"['WiFi', 'Bluetooth']",Not Available,Not Available,Not Available,Not Available,"The OpenQ Development Kit is a product of Intrinsyc Technologies Corporation, based on the Qualcomm Snapdragon Wear. It comes with an AC Power Adapter, HDMI Cable, and various other components.","The OpenQ Development Kit is a comprehensive development kit designed for evaluation and development purposes. It is based on the Qualcomm Snapdragon Wear and comes with a variety of components including an AC Power Adapter, HDMI Cable, and various buttons and connectors. The kit also includes a WiFi/BT antenna and a GPS antenna.","The OpenQ Development Kit is a comprehensive development kit designed for evaluation and development purposes. It is based on the Qualcomm Snapdragon Wear and comes with a variety of components including an AC Power Adapter, HDMI Cable, and various buttons and connectors. The kit also includes a WiFi/BT antenna and a GPS antenna. The kit requires a 5V power supply for operation.",Not Available
IB THTH GEN INTEL XEON E CORE III PENTIUM CELERON PICMG FULLSIZE CPU CARD W INTEL C PCH,IBASE,PICMG FULLSIZE CPU CARD,Not Available,INTEL XEON E CORE III,Not Available,INTEL,Not Available,"DDR, MAX 64GB, ECC COMPATIBLE",Not Available,"5V, 12V","['1x RS-232', '1x RS-422', '1x LPT', '4x USB', '2x SATA III']",Not Available,Not Available,60C,0C,Not Available,"A PICMG full-size CPU card with Intel Xeon E Core iii Pentium Celeron, DDR memory up to 64GB, and multiple I/O interfaces.","This product is a PICMG full-size CPU card featuring Intel Xeon E Core iii Pentium Celeron processors. It supports DDR memory up to 64GB and ECC compatibility. The card offers multiple I/O interfaces including RS-232, RS-422, LPT, USB, and SATA III. It operates at temperatures between 0C and 60C.","The IB thth Gen Intel Xeon E Core iii Pentium Celeron PICMG FullSize CPU Card w Intel C PCH is a high-performance, full-size CPU card. It features Intel Xeon E Core iii Pentium Celeron processors and supports DDR memory up to 64GB with ECC compatibility. The card offers multiple I/O interfaces including RS-232, RS-422, LPT, USB, and SATA III. It operates at temperatures between 0C and 60C and requires a 5V or 12V power supply.",Not Available
MIVF SERIES MI,Spacemit,MINI-ITX,commercialization,RISC-V,8,INTEL,Not Available,"DDR SODIMM, MAX 64GB",MSATA,"DDR V, A V, A VSB, A V","['1 x RS, 1 x RS, 4 x USB via pin header, 2 x USB board, 2 x SATA III']",WI-FI6/BT5.2,Ubuntu / Fedora OS / CASA OS,Not Available,Not Available,Not Available,"Mini-ITX motherboard with Intel Xeon E Core iii processors, DDR SODIMM memory up to 64GB, supports eDP HDMIa DVID DisplayPort, Intel Gigabit LAN, USB, COM, SATA III, PCIE, Mini PCIE, and M Watchdog timer.","The Spacemit K1/M1 is a Mini ITX device powered by an octa-core X60™(RV64GCVB) processor. It supports both RVA22 and RVV1.0 and integrates a standard PCIe connector, supporting common PCIe devices such as graphics cards, PCIe to SATA adapters, and network cards. It features dual Gigabit Ethernet interfaces, onboard Wi-Fi 6/BT 5.2, and supports NVMe SSDs.","The Spacemit K1/M1 is a Mini ITX device that is powered by an octa-core X60™(RV64GCVB) processor. It supports both RVA22 and RVV1.0. This device integrates a standard PCIe connector, supporting common PCIe devices such as graphics cards, PCIe to SATA adapters, and network cards. It features dual Gigabit Ethernet interfaces, onboard Wi-Fi 6/BT 5.2, and supports NVMe SSDs. It is an ideal choice for an entry-level RISC-V desktop.",Entry-level RISC-V desktop
AKMB-G,ADVANTECH,MICROATX,False,INTEL CORE QUAD,4,INTEL,Not Available,DDR SDRAM 4GB,SATA II,"V, V, V, Vsb, V","['VGA, USB, Audio Line-in, Line-out, Mic-in, Serial RS, V/V, RS, Parallel, FDD, PS x keyboard, x mouse, GPIO']",Not Available,Not Available,60° C,0° C,Not Available,"The AKMB-G is a MicroATX motherboard from Advantech, featuring an Intel Core Quad processor, 4GB DDR SDRAM, and SATA II onboard storage. It supports a variety of I/O interfaces including VGA, USB, and audio ports.","The AKMB-G is a MicroATX motherboard from Advantech, powered by an Intel Core Quad processor. It supports dual channel DDR SDRAM up to 4GB and has SATA II onboard storage. The motherboard features a variety of I/O interfaces including VGA, USB, audio ports, and more. It operates on multiple voltage levels and is designed for commercial use.","The AKMB-G is a MicroATX motherboard from Advantech, powered by an Intel Core Quad processor. It supports dual channel DDR SDRAM up to 4GB and has SATA II onboard storage. The motherboard features a variety of I/O interfaces including VGA, USB, audio ports, and more. It operates on multiple voltage levels and is designed for commercial use. The motherboard also supports PCIe expansion slots and has a Realtek RTL8111DL Ethernet controller for network connectivity.",Not Available
ICEQM COM EXPRESS BASIC TYPE MODULE SOCKET G,IEI,PICMG COM EXPRESS R BASIC TYPE,Not Available,INTEL CORE III,16,INTEL,31W,TWO PIN MHZ DUAL-CHANNEL DDR SDRAM UNBUFFERED DIMMS SUPPORTED SYSTEM MAX GB,"2 x SATA ports with 600MB/s HDD transfer rate, 1 x NVMe BGA SSD(optional)",8.5V~20V,"['1 x RS BASEBOARD V', '4 x USB BASEBOARD', '1 x SATA GBS SIGNAL BASEBOARD']",Not Available,Windows 10 64-bit/Windows 11 64-bit/Linux: Ubuntu,60 C,-20 C,ROHS,"The ICEQM COM Express Basic Type Module Socket G is a single board computer that supports Intel nd rd Generation Core iii Celeron Processor. It features VGA, LVDS, DDI, GbE, SATA Gbs, USB, and Audio.","The ICEQM COM Express Basic Type Module Socket G is a single board computer that supports Intel nd rd Generation Core iii Celeron Processor. It features VGA, LVDS, DDI, GbE, SATA Gbs, USB, and Audio. It also supports dual-channel DDR memory up to GB and has a form factor of PICMG COM Express R Basic Type. It is RoHS certified.","The ICEQM COM Express Basic Type Module Socket G is a single board computer that supports Intel nd rd Generation Core iii Celeron Processor. It features VGA, LVDS, DDI, GbE, SATA Gbs, USB, and Audio. It also supports dual-channel DDR memory up to GB and has a form factor of PICMG COM Express R Basic Type. It is RoHS certified. It has a operating temperature range of -20 C to 60 C.","industrial automation, robotics, medical devices"
MINI-ITX MOTHERBOARD M,IBASE,Mini-ITX,Commercialization,Intel Xeon E Core iii Pentium Celeron,Not Available,Intel,65W for Sandy Bridge processor,DDR SODIMM Max GB,mSATA,V A V A VSB A V A,"[""USB: ['USB x', 'USB x']"", ""Serial Port: ['RS x', 'RS x']"", ""Serial ATA: ['SATA III x']"", ""Mini PCIE: ['Mini PCIE slots x']"", ""PCIE: ['PCIE x']"", ""DVID: ['DVID x']"", ""HDMI: ['HDMI x']"", ""DisplayPort: ['DisplayPort x']"", ""Ethernet: ['Gigabit LAN x']"", ""Audio: ['Audio x']""]",Not Available,Android / Linux2.6 / Windows Embedded Compact 7,CC,FF,Not Available,"Mini-ITX motherboard with thth Gen Intel Xeon E Core iii Pentium Celeron QCDC processors, DDR SODIMM Max GB memory, mSATA storage, and various I/O interfaces.","This Mini-ITX motherboard features thth Gen Intel Xeon E Core iii Pentium Celeron QCDC processors, DDR SODIMM Max GB memory, mSATA storage, and a variety of I/O interfaces including USB, Serial Port, Serial ATA, Mini PCIE, PCIE, DVID, HDMI, DisplayPort, Ethernet, and Audio. It operates at a voltage of V A V A VSB A V A and has an operating temperature range of CC to FF.","The Mini-ITX motherboard, MB860, made by IBASE, uses Transmeta Efficeon processors that run at up to 1.2 GHz. It supports SODIMM DDR modules with capacities up to 1 GB. An onboard 16 MB ATI M7 graphics controller supports 3D games and graphical intensive programs. It provides four USB 2.0 ports, a Realtek 8100C 10/100 Mbit/s BaseT Ethernet and an optional 8110S Gigabit Ethernet controller. The board is designed to have a low power consumption of less than 7W. It supports operating systems such as Android, Linux2.6, and Windows Embedded Compact 7.","HTPC, Industrial, Embedded PC"
NVIDIA JETSON NANO DEVELOPER KIT,NVIDIA CORPORATION,100mm x 79mm x 30.21mm,True,ARM,4,ARM LIMITED,Not Available,4GB LPDDR4,microSD (Not Included),5V,"['USB Type A', 'USB Micro-B', 'HDMI', 'DisplayPort', 'M.2 Key E', 'Gigabit Ethernet', 'GPIOs', 'I2C', 'I2S', 'SPI', 'UART', 'MIPI-CSI Camera Connector', 'Fan Connector', 'PoE Connector']",802.11ac,"['Linux OS', 'NVIDIA CUDA', 'cuDNN', 'TensorRT']",Not Available,Not Available,"['Electromagnetic Compatibility Directive 2014/30/EU', 'Low Voltage Directive 2014/35/EU', 'RoHS Directive 2011/65/EU', 'Underwriters Laboratories (UL)', 'Radio Research Agency (RRA)', 'India E-waste (Management and Handling) Rule 2016']","The NVIDIA Jetson Nano Developer Kit is a low-cost AI computer for all. It delivers compute performance to run modern AI workloads with unprecedented size, power, and cost. It is powered by microUSB and comes with extensive IOs.","The NVIDIA Jetson Nano Developer Kit is a powerful tool designed to develop and test AI frameworks and models. It is equipped with a NVIDIA Maxwell GPU and a Quad-Core ARM A57 CPU. It has 4GB of LPDDR4 memory and uses a microSD for storage. The kit includes a variety of IOs such as USB Type A, USB Micro-B, HDMI, DisplayPort, M.2 Key E, Gigabit Ethernet, GPIOs, I2C, I2S, SPI, UART, MIPI-CSI Camera Connector, Fan Connector, and a PoE Connector. It is powered by a 5V power supply.","The NVIDIA Jetson Nano Developer Kit is a powerful tool designed to develop and test AI frameworks and models. It is equipped with a NVIDIA Maxwell GPU and a Quad-Core ARM A57 CPU. It has 4GB of LPDDR4 memory and uses a microSD for storage. The kit includes a variety of IOs such as USB Type A, USB Micro-B, HDMI, DisplayPort, M.2 Key E, Gigabit Ethernet, GPIOs, I2C, I2S, SPI, UART, MIPI-CSI Camera Connector, Fan Connector, and a PoE Connector. It is powered by a 5V power supply. The kit is also supported by NVIDIA JetPack which includes a board support package (BSP), Linux OS, NVIDIA CUDA, cuDNN, and TensorRT software libraries for deep learning, computer vision, GPU computing, and multimedia processing.","['AI frameworks', 'Models', 'Applications like image classification', 'Object detection', 'Segmentation', 'Speech processing']"
SPREADER IBF SERIES,Not Available,SINGLE BOARD COMPUTER,Not Available,AMD EMBEDDED G-SERIES,Not Available,AMD,Not Available,DDR3 DDRL SODIMM MAX 8GB,MSATA,DC IN V-V,"['USB X 2', 'USB X 2', 'COM X 1', 'SATA III X 1', 'COM PORTS', 'MINI PCIE']",Not Available,Not Available,60C,0C,Not Available,The Spreader IBF Series is a single board computer with an onboard AMD Embedded G-Series processor. It supports DDR3 DDRL SODIMM with a maximum of 8GB and has mSATA storage. The device operates at a temperature range of 0C to 60C.,"The Spreader IBF Series is a single board computer featuring an onboard AMD Embedded G-Series processor. It supports DDR3 DDRL SODIMM with a maximum of 8GB. The device has mSATA storage and operates at a temperature range of 0C to 60C. It has multiple I/O interfaces including USB, COM, SATA III, and Mini PCIE. The device requires a DC input voltage of V-V.","The Spreader IBF Series is a single board computer featuring an onboard AMD Embedded G-Series processor. It supports DDR3 DDRL SODIMM with a maximum of 8GB. The device has mSATA storage and operates at a temperature range of 0C to 60C. It has multiple I/O interfaces including USB, COM, SATA III, and Mini PCIE. The device requires a DC input voltage of V-V. It also features a Watchdog timer, Digital IO, and iSMART technology.",Not Available
AIMB,ADVANTECH,MINI ITX,Not Available,AMD ATHLON II NEO/TURION II NEO,DUAL CORE,AMD,W TDP,4GB DDR3 MHZ SDRAM,CFAST TYPE III,Not Available,"['VGA', 'DVI', 'ETHERNET', 'USB', 'AUDIO', 'MIC-IN', 'LINE-OUT', 'LINE-IN', 'SERIAL RS']",No,Not supported,50C,0C,Not Available,"The AIMB is a Mini ITX motherboard from Advantech, featuring an AMD Athlon II Neo/Turion II Neo processor, 4GB DDR3 MHz SDRAM, and Cfast type III storage.","The AIMB is a Mini ITX motherboard from Advantech, featuring an AMD Athlon II Neo/Turion II Neo dual-core processor with W TDP. It supports 4GB DDR3 MHz SDRAM and Cfast type III storage. The motherboard offers a variety of I/O interfaces including VGA, DVI, Ethernet, USB, Audio, Mic-in, Line-out, Line-in, and Serial RS. It operates at a temperature range of 0C to 50C.","The AIMB is a Mini ITX motherboard from Advantech, featuring an AMD Athlon II Neo/Turion II Neo dual-core processor with W TDP. It supports 4GB DDR3 MHz SDRAM and Cfast type III storage. The motherboard offers a variety of I/O interfaces including VGA, DVI, Ethernet, USB, Audio, Mic-in, Line-out, Line-in, and Serial RS. It operates at a temperature range of 0C to 50C. The product does not have wireless capabilities and does not support any specific operating system or BSP.",Not Available
VENICE GW SINGLE BOARD COMPUTER,GATEWORKS,SINGLE BOARD COMPUTER,False,ARM CORTEX-A,4,NXP,Not Available,1 GByte LPDDR DRAM,1 GByte eMMC Flash System,8-60 VDC,"['Digital IO, Analog Port, IC SPI Port, UART TTL Serial Port, USB Type-C Port']",ax/ac/b/g/n WiFi,Ubuntu Linux,70 C,-40 C,Not Available,"The GW is a single board computer from Gateworks' Venice family, featuring a quad-core ARM Cortex-A SoC processor, 1 GByte LPDDR DRAM, and 1 GByte eMMC Flash System.","The GW is a rugged, industrial-grade single board computer. It features a quad-core ARM Cortex-A SoC processor, 1 GByte LPDDR DRAM, and 1 GByte eMMC Flash System. It has one MiniPCIe expansion socket, a Nano SIM slot, and a TPM secure cryptoprocessor. It supports Ubuntu Linux BSP and has a wide operating temperature range.","The GW is a rugged, industrial-grade single board computer from Gateworks' Venice family. It features a 64-bit NXP i.MX8M Mini Quad Core ARM Cortex-A SoC processor operating at 1.5 GHz, 1 GByte LPDDR DRAM, and 1 GByte eMMC Flash System. It has one MiniPCIe expansion socket that can be used for PCI Express peripherals, ax/ac/b/g/n WiFi radios, and 4G/5G/CAT-M cellular modems. It also has a Nano SIM slot and a TPM secure cryptoprocessor for system security and integrity. The board supports Ubuntu Linux BSP and has a wide operating temperature range of -40 C to 70 C.",Rugged industrial embedded applications
RISC COMPUTING PLATFORMS FEATURES NXP ARM CORTEXA IMX SMARC V MODULEROM,ADVANTECH,SMARC V,True,ARM CORTEX A,Not Available,NXP,Not Available,DDR3 1GB,eMMC 8GB,5V,"['1x PCIe', '1x SATA II', '2x USB', '1x USB OTG', '4x UART', '2x CAN bus', '1x SPI', '1x IC', '1x GPIO']",Not Available,"['LINUX', 'ANDROID']",60C,-20C,"['CE', 'FCC CLASS B', 'NEW ROHS COMPLIANT', 'EC']","The RISC Computing Platforms Features NXP ARM CortexA iMX SMARC v ModuleROM is a high performance, low power consumption, fanless design module that supports Linux and Android BSP. It is integrated with NXP imx CortexA SoC and supports rich interfaces.","The RISC Computing Platforms Features NXP ARM CortexA iMX SMARC v ModuleROM is a high performance, low power consumption, fanless design module that supports Linux and Android BSP. It is integrated with NXP imx CortexA SoC and supports rich interfaces including camera, CAN, UART, IC, GPIO. It is specially designed for portable applications and supports OpenGL ES, OpenVG hardware accelerators, and full HD hardware encode/decode engine.","The RISC Computing Platforms Features NXP ARM CortexA iMX SMARC v ModuleROM is a high performance, low power consumption, fanless design module that supports Linux and Android BSP. It is integrated with NXP imx CortexA SoC and supports rich interfaces including camera, CAN, UART, IC, GPIO. It is specially designed for portable applications and supports OpenGL ES, OpenVG hardware accelerators, and full HD hardware encode/decode engine. It has onboard DDR3 1GB memory and eMMC 8GB storage. It operates at a voltage of 5V and has an operating temperature range of -20C to 60C.",Designed for portable applications.
