name,ids,manufacturer,form_factor,processor,core_count,processor_tdp,memory,io,operating_system,environmentals,certifications,short_summary,full_summary,full_product_description
Industrial Motherboard JTIMA,J3455T-IM-A_NO-LVDS,ASUS,Thin Mini-ITX 170 x 170 mm,Intel J SoC onboard,quad-core,Not available,"DDR3L 1600 MHz, Max 8 GB, 2 x SODIMM","VGA, HDMI, Display Port, USB 3.1 Gen 1, Ethernet, Audio jack, RS232, RS422, RS485, GPIO, SATA, mSATA, PCIe, M.2","Microsoft Windows 10, Windows 10 IoT Enterprise, Linux (Ubuntu, RedHat Enterprise, Fedora Workstation, OpenSUSE)","Operating Temperature: 0-60°C, Non-Operating Temperature: -40-85°C, Relative Humidity: 0-95%","CE, FCC","Industrial motherboard with Intel J SoC, supporting multiple display interfaces and wide temperature range.","The JTIMA is an industrial motherboard featuring an Intel J SoC onboard processor, supporting DDR3L memory up to 8 GB. It offers multiple display interfaces including VGA, HDMI, and Display Port, and is designed for a wide temperature range from 0 to 60°C. The board supports various operating systems including Windows 10 and multiple Linux distributions.","The JTIMA industrial motherboard by ASUS is designed for robust performance in demanding environments. It features an Intel J SoC onboard processor and supports up to 8 GB of DDR3L memory. The board includes multiple display interfaces such as VGA, HDMI, and Display Port, and offers extensive I/O options including USB 3.1 Gen 1, Ethernet, audio jacks, RS232, RS422, RS485, GPIO, SATA, mSATA, PCIe, and M.2. It is compatible with various operating systems including Windows 10, Windows 10 IoT Enterprise, and several Linux distributions. The motherboard is built to operate in temperatures ranging from 0 to 60°C and has certifications including CE and FCC."
Industrial Motherboard System,"AIMB-226G2-00A1E,EPC-T22857A-00Y1E",Advantech,Mini-ITX,AMD Quad Core RX-427BB / AMD Dual Core RX-216FB,Quad Core / Dual Core,35W (Quad Core) / 17W (Dual Core),"Dual Channel DDR3 1600 MHz, Max Capacity 16GB (8GB per SODIMM)","HDMI, LVDS, DP, Dual LAN, COM, Mini PCIe, USB 2.0, USB 3.0, Audio, SATA III, eSATA, GPIO","Embedded OS, API Support","Operating Temperature: 0°C to 60°C (32°F to 140°F), Non-Operating Temperature: -40°C to 85°C (-40°F to 185°F)",RoHS Compliant,"Industrial motherboard system supporting AMD Quad/Dual Core processors, Mini-ITX form factor, and various I/O interfaces.","The Industrial Motherboard System supports AMD Mobile Bald Eagle Quad Core and Dual Core processors. It features dual-channel DDR3 1600 MHz memory, multiple display outputs including HDMI, LVDS, and DP, dual LAN, COM ports, and Mini PCIe expansion slots. It is designed for embedded applications with support for various software APIs and utilities.","The Industrial Motherboard System by Advantech is designed for embedded applications, supporting AMD Mobile Bald Eagle Quad Core and Dual Core processors. It features a Mini-ITX form factor, dual-channel DDR3 1600 MHz memory with a maximum capacity of 16GB, and multiple display outputs including HDMI, LVDS, and DP. The system includes dual LAN ports, COM ports, Mini PCIe expansion slots, and various I/O interfaces such as USB 2.0, USB 3.0, audio, SATA III, and eSATA. It operates within a temperature range of 0°C to 60°C and is RoHS compliant. The motherboard supports embedded software APIs and utilities, making it suitable for a wide range of industrial applications."
Industrial Motherboard Viima Riima,R1505I-IM-A,DFI,Mini-ITX 170mm x 170mm,AMD Ryzen Embedded V1000/R1000 Series APU,Quad Core,Not available,"DDR4 2400MHz, Max 32GB, ECC support, 2x SODIMM","DisplayPort, LVDS, eDP, PCIe, M.2, SATA, USB 3.1 Gen 2, Ethernet, Audio jacks, COM ports","Microsoft Windows 10, Windows 10 IoT Enterprise, Linux (Ubuntu, RedHat Enterprise, Fedora Workstation, OpenSUSE)","Operating Temperature: -40°C to 85°C, Non-Operating Temperature: -40°C to 85°C, Relative Humidity: 0% to 90%","CE, FCC","Industrial motherboard supporting AMD Ryzen Embedded V1000/R1000 Series APUs, with multiple display outputs and wide temperature range endurance.","The Industrial Motherboard Viima Riima is designed for industrial applications, featuring AMD Ryzen Embedded V1000/R1000 Series APUs, support for up to four 4K displays, and a wide temperature range endurance from -40°C to 85°C. It includes multiple I/O interfaces such as DisplayPort, LVDS, eDP, PCIe, M.2, SATA, USB 3.1 Gen 2, Ethernet, and audio jacks.","The Industrial Motherboard Viima Riima is a robust solution for industrial applications, equipped with AMD Ryzen Embedded V1000/R1000 Series APUs. It supports up to four 4K displays and offers a wide temperature range endurance from -40°C to 85°C. The motherboard features DDR4 2400MHz memory with ECC support, multiple I/O interfaces including DisplayPort, LVDS, eDP, PCIe, M.2, SATA, USB 3.1 Gen 2, Ethernet, and audio jacks. It is compatible with various operating systems including Microsoft Windows 10, Windows 10 IoT Enterprise, and multiple Linux distributions. Certifications include CE and FCC."
Industrial Server Motherboard,"ASMB-585G2-00A1E,ASMB-784G2-00A1E,ASMB-584G2-00A1E,ASMB-913-00A1E",Advantech,Micro ATX,"Intel Xeon E v5/v6, 6th/7th Generation Core i3",Not available,80W,"DDR4 ECC/Non-ECC 2133 MHz, up to 64GB","10 RS-232, 6 RS-422/485, 4 RS-232/422/485, 4 Gigabit LAN, 7 SATA, 6 USB","Windows, Linux","Operating Temperature: 0-60°C, Humidity: 10-95% non-condensing",Not available,"Industrial Server Motherboard with Intel Xeon E v5/v6 and 6th/7th Gen Core i3 processors, supporting DDR4 ECC/Non-ECC memory, multiple I/O ports, and Micro ATX form factor.","The Industrial Server Motherboard by Advantech supports Intel Xeon E v5/v6 and 6th/7th Generation Core i3 processors. It features DDR4 ECC/Non-ECC 2133 MHz memory up to 64GB, multiple I/O interfaces including 10 RS-232, 6 RS-422/485, 4 RS-232/422/485, 4 Gigabit LAN, 7 SATA, and 6 USB ports. The motherboard is designed in a Micro ATX form factor and operates within a temperature range of 0-60°C with 10-95% non-condensing humidity.","The Industrial Server Motherboard by Advantech is designed to support Intel Xeon E v5/v6 and 6th/7th Generation Core i3 processors. It offers DDR4 ECC/Non-ECC 2133 MHz memory with a maximum capacity of 64GB. The motherboard includes a variety of I/O interfaces such as 10 RS-232, 6 RS-422/485, 4 RS-232/422/485, 4 Gigabit LAN ports, 7 SATA ports, and 6 USB ports. It is built in a Micro ATX form factor and can operate in temperatures ranging from 0-60°C with a humidity range of 10-95% non-condensing. Additional features include Intel HD Graphics, support for multiple displays (2 DVI-D, 1 VGA), and various expansion slots including PCIe x16 and PCIe x4. The motherboard is suitable for industrial applications requiring robust performance and reliability."
Industrial Thin MiniITX,"conga-IC97slash3765U,052803",Congatec,"Thin Mini-ITX, 170mm x 170mm","Intel Core i7-6600U, Intel Core i5-6300U, Intel Core i3-6100U, Intel Celeron 3955U",Dual Core,15W,"Dual channel DDR4L, up to 32GB","Dual LAN, USB 3.0, PCIe, SATA, DisplayPort, LVDS, eDP, Audio, Serial Ports","Microsoft Windows, Microsoft Windows IoT, Linux","Operating Temperature: 0°C to 60°C, Humidity: 10% to 90% non-condensing",Not available,High-performance Thin Mini-ITX board with 6th Gen Intel Core Mobile SoC U-Processors and improved graphics performance.,"The Industrial Thin Mini-ITX board conga-IC is designed for high performance with 6th Generation Intel Core Mobile SoC U-Processors, offering improved graphics performance, wide range power input, and a variety of I/O interfaces. It supports dual channel DDR4L memory up to 32GB and features dual LAN, multiple USB ports, PCIe slots, and various display interfaces.","The conga-IC Industrial Thin Mini-ITX board is equipped with 6th Generation Intel Core Mobile SoC U-Processors, including Intel Core i7-6600U, i5-6300U, i3-6100U, and Celeron 3955U. It features dual channel DDR4L memory support up to 32GB, dual LAN, multiple USB 3.0 ports, PCIe slots, SATA interfaces, DisplayPort, LVDS, eDP, and audio interfaces. The board supports various operating systems including Microsoft Windows, Windows IoT, and Linux. It is designed for a wide range of industrial applications with operating temperatures from 0°C to 60°C and humidity levels from 10% to 90% non-condensing."
Intel Atom Celeron Processor COM Express Mini Module,SOM-7567BS0CB-S3A2,Advantech,COM Express Mini Module,"Intel Celeron N2930, Intel Celeron J1900, Intel Atom E3845, Intel Atom E3826","4, 2, 1",6W to 10W,"Onboard DDR3L, 2GB to 4GB","PCIe x1, SATA II, USB 2.0, USB 3.0, Ethernet, GPIO, SPI, I2C, LPC, SMBus, HD Audio","Embedded OS, Windows Embedded Standard","Operating Temperature: -40°C to 85°C, Storage Temperature: -40°C to 85°C, Operating Humidity: 40°C @ 85% relative humidity non-condensing",Not available,Intel Atom/Celeron Processor COM Express Mini Module with onboard DDR3L memory and wide voltage input support.,"The Intel Atom/Celeron Processor COM Express Mini Module features onboard DDR3L memory, wide voltage input support, and a variety of I/O interfaces including PCIe, SATA, USB, Ethernet, and more. It supports embedded software APIs and utilities.","The Intel Atom/Celeron Processor COM Express Mini Module is designed based on the Silvermont microarchitecture. It includes onboard DDR3L memory, SSD, and supports a wide range of I/O interfaces such as PCIe, SATA, USB, Ethernet, GPIO, SPI, I2C, LPC, and SMBus. The module supports various operating systems including embedded OS and Windows Embedded Standard. It is suitable for applications requiring robust performance in harsh environments, with an operating temperature range of -40°C to 85°C and storage temperature range of -40°C to 85°C."
Intel Atom N COM Express Basic Type CPU Module,EmETXe-i2903-N4,ARBOR Technology,COM Express Basic Type,Intel Atom N 1.6 GHz / D 1.66 GHz,8,25 W,Soldered onboard 2 GB DDR2 SDRAM,"6 x USB ports, Digital IO 8-bit programmable, 4 x PCIe x1 lanes, 1 x PCIe x4, 1 x LPC, 1 x Ultra ATA, 2 x Serial ATA ports, 2 x Intel 82574IT PCIe GbE controllers",Not available,"Operating Temp: -40°C to 85°C, Operating Humidity: 95% @ 60°C non-condensing",RoHS,Intel Atom N COM Express Basic Type CPU Module with integrated Gigabit Ethernet and fanless design.,"The Intel Atom N COM Express Basic Type CPU Module features an integrated Gigabit Ethernet, fanless design, and soldered onboard Intel Atom N 1.6 GHz / D 1.66 GHz processor. It supports both LVDS and Analog RGB output, dual independent displays, and extended operating temperature range.","The Intel Atom N COM Express Basic Type CPU Module from ARBOR Technology includes a soldered onboard Intel Atom N 1.6 GHz / D 1.66 GHz processor and 2 GB DDR2 SDRAM. It supports dual independent displays with LVDS and Analog RGB output. The module features 6 USB ports, 8-bit programmable Digital IO, 4 PCIe x1 lanes, 1 PCIe x4, 1 LPC, 1 Ultra ATA, and 2 Serial ATA ports. It also includes 2 Intel 82574IT PCIe GbE controllers. The module operates in temperatures ranging from -40°C to 85°C and up to 95% humidity at 60°C non-condensing."
Intel Atom Processor E Series Single Board Computer,IB898-I25,WINSYSTEMS,Dimensions L x W mm x mm x,Intel Atom E3845 1.91 GHz / Intel Atom E3825 1.33 GHz,"Quad-core (E3845), Dual-core (E3825)",10W,2 x DDR3L SODIMM Max 8GB Non-ECC,"2 x mSATA, 2 x Mini PCIe, 2 x full-size, 2 x half-size, 2 x RS232/422/485, 4 x USB 3.0, 4 x USB 2.0, 2 x SATA II, 2 x Intel I210IT Gigabit LAN","Linux, Windows, and other x86 compatible","Operating Temperature: -40°C to 85°C, Storage Temperature: -40°C to 85°C, Relative Humidity: 95% non-condensing",Not available,"Single Board Computer with Intel Atom E3845/E3825 processor, supporting wide temperature range and various I/O interfaces.","The Intel Atom Processor E Series Single Board Computer features an onboard Intel Atom E3845/E3825 SoC, supporting up to 8GB DDR3L memory, multiple I/O interfaces including USB, SATA, and Mini PCIe, and is designed for wide temperature range operations.","The Intel Atom Processor E Series Single Board Computer is equipped with an onboard Intel Atom E3845 1.91 GHz or E3825 1.33 GHz SoC, supporting up to 8GB DDR3L SODIMM memory. It includes multiple I/O interfaces such as 2 x mSATA, 2 x Mini PCIe, 2 x full-size, 2 x half-size, 2 x RS232/422/485, 4 x USB 3.0, 4 x USB 2.0, 2 x SATA II, and 2 x Intel I210IT Gigabit LAN. The board supports a wide operating temperature range from -40°C to 85°C, making it suitable for various industrial applications."
Intellicom,101-0411,Digi International,small form factor,Rabbit microprocessor,Not available,Not available,"SRAM: 128K, Flash EPROM: 256K","Digital Inputs, Digital Outputs, RS232, RS485, Ethernet, Keypad, Display",Dynamic C,"Operating Temperature: -20°C to 70°C, Storage Temperature: -40°C to 85°C, Humidity: 5% to 95% non-condensing","CE Compliance, FCC Part 15 Class B","The Intellicom is a high-performance, C-programmable intelligent terminal interface with built-in I/O and Ethernet connectivity.","The Intellicom intelligent terminal interface is a high-performance, C-programmable terminal offering built-in I/O and Ethernet connectivity. It features a Rabbit microprocessor operating at 22.1 MHz, providing fast data processing. The terminal includes protected logic-level digital inputs, protected sinking digital outputs, a high-visibility backlit LCD, 10Base-T Ethernet interface, TCP/IP capability, RS-232 and RS-485 serial ports, 128K SRAM, 256K flash EPROM, a self-healing lens, a real-time clock, a watchdog supervisor, a voltage regulator, and a backup battery. It can be programmed to emulate a serial terminal and is splash-resistant when panel-mounted using the supplied gasket.","The Intellicom intelligent terminal interface is a high-performance, C-programmable terminal offering built-in I/O and Ethernet connectivity. A Rabbit microprocessor operating at 22.1 MHz provides fast data processing. Features include C-programmability to create custom user interfaces, protected logic-level digital inputs, protected sinking digital outputs, a high-visibility backlit LCD, 10Base-T Ethernet interface, TCP/IP capability, RS-232 and RS-485 serial ports, 128K SRAM, 256K flash EPROM, a self-healing lens that is scratch, impact, and abrasion-resistant, a real-time clock, a watchdog supervisor, a voltage regulator, and a backup battery. The terminal can be programmed to emulate a serial terminal and is splash-resistant when panel-mounted using the supplied gasket. It can also be wall-mounted or panel-mounted. The Intellicom is designed for use in various applications and environments, meeting CE compliance and FCC Part 15 Class B standards. The device operates within a temperature range of -20°C to 70°C and can be stored in temperatures ranging from -40°C to 85°C. It supports humidity levels from 5% to 95% non-condensing. The Intellicom is available in two models: OP6700 (standard terminal without Ethernet interface) and OP6800 (full-featured terminal with Ethernet interface)."
Intelligent Industrial Panel PC PPCF H Series,tKINO-BW-N4-R10,IEI,"Panel mount, rack mount, VESA mount","Intel 10th generation Core i3/i5, Pentium, Celeron","Dual Core, Quad Core",35W,"2 x 260-pin 2933 MHz dual-channel DDR4 SODIMM slots, max 64GB","2 x RJ45 LAN Port, 4 x USB 3.2 Gen 1, 2 x USB 2.0, 1 x HDMI output, 2 x RS232, 1 x RS422/485, 1 x MIC-in, 1 x Line-out, 1 x VGA output, 1 x AT/ATX switch, 1 x Clear CMOS, 1 x Reset button, 1 x Power switch","Windows 11, Windows 10, or Linux","Operating Temperature: -20°C to 60°C (air flow), Storage Temperature: -30°C to 70°C, Humidity: 5% to 95% non-condensing, IP Level: Front IP65","CE, FCC certified","Intelligent Industrial Panel PC with Intel 10th generation processors, robust IP65 aluminum front bezel, and multiple mounting options.","The Intelligent Industrial Panel PC PPCF H Series by IEI features scalable Intel 10th generation Core i3/i5, Pentium, and Celeron processors with a 35W TDP. It includes a robust IP65 aluminum front bezel, projected capacitive multitouch, dual full-size PCIe Mini card expansion, and AC/DC power input options. The system supports up to 64GB of DDR4 memory and offers a variety of I/O interfaces, making it suitable for industrial applications.","The Intelligent Industrial Panel PC PPCF H Series by IEI is designed for industrial applications requiring robust performance and reliability. It supports Intel 10th generation Core i3/i5, Pentium, and Celeron processors with a 35W TDP. The system features a robust IP65 aluminum front bezel, projected capacitive multitouch, and dual full-size PCIe Mini card expansion. It offers AC/DC power input options and supports up to 64GB of DDR4 memory. The I/O interfaces include 2 x RJ45 LAN Port, 4 x USB 3.2 Gen 1, 2 x USB 2.0, 1 x HDMI output, 2 x RS232, 1 x RS422/485, 1 x MIC-in, 1 x Line-out, 1 x VGA output, 1 x AT/ATX switch, 1 x Clear CMOS, 1 x Reset button, and 1 x Power switch. The system is certified with CE and FCC and can operate in temperatures ranging from -20°C to 60°C with air flow."
Intelligent Inspection System,"AIIS-5410P-U0A1E,AIIS-1240-00A1E",Advantech,W 240 x H 100 x D 225 mm,Intel Core i7,4,65W,"Dual-channel DDR4, 8GB equipped, expandable to 32GB","Front IO: VGA, DVI-D, 4x USB 3.0, Audio (Line-out, Mic-in); Rear IO: 2x RS-232, GPIO, 2x LAN, 2x USB 2.0, CFast slot",Embedded OS,"Operating Temperature: -20°C to 60°C; Humidity: 95% @ 40°C (non-condensing); Vibration: 1 Grms (HDD), 3 Grms (SSD); Shock: 10G (HDD), 50G (SSD)",Compliant with IEEE 802.3af,"Fanless vision system with Intel Core processor, multiple I/O interfaces, and wide operating temperature range.","The Intelligent Inspection System is a fanless vision system powered by an Intel Core processor. It features multiple I/O interfaces including VGA, DVI-D, USB, and audio ports. It supports a wide operating temperature range and is compliant with IEEE 802.3af standards.","The Intelligent Inspection System by Advantech is designed for industrial applications requiring robust performance and reliability. It is powered by an Intel Core i7 processor and supports dual-channel DDR4 memory, with 8GB equipped and expandable up to 32GB. The system includes multiple I/O interfaces such as VGA, DVI-D, USB, and audio ports, as well as isolated digital I/O. It is compliant with IEEE 802.3af standards and supports a wide operating temperature range from -20°C to 60°C. The system is designed for easy integration with Gigabit Ethernet cameras and features a fanless design for enhanced durability."
Intelligent Transportation Platform,ITA-1611-10A1E,Advantech,Fanless Compact System,Intel Celeron J,Quad-core,Not available,8 GB DDR3,"2x LAN, 4x USB, 4x COM, VGA, DVI, LVDS, GPIO, Audio, Mic-in, PS/2, LPT",Not available,Operating Temperature: 0°C to 60°C,No RED Certification,"Fanless compact system with Intel Celeron J processor, dual Gigabit Ethernet LAN, and dual display support.","The Intelligent Transportation Platform features a fanless compact system design with an Intel Celeron J quad-core processor. It supports dual Gigabit Ethernet LAN, dual displays, and up to 8 GB DDR3 memory. The system includes various I/O interfaces such as USB, COM, VGA, DVI, LVDS, GPIO, and audio.","The Intelligent Transportation Platform by Advantech is designed for robust and efficient performance in transportation applications. It features a fanless compact system with an Intel Celeron J quad-core processor, supporting dual Gigabit Ethernet LAN and dual displays. The system includes 8 GB DDR3 memory onboard, with optional NVRAM. It offers a wide range of I/O interfaces including 2x LAN, 4x USB, 4x COM, VGA, DVI, LVDS, GPIO, audio, and mic-in. The platform supports full HD resolution video and has an operating temperature range of 0°C to 60°C. It is ideal for applications requiring reliable and high-performance computing in harsh environments."
Interactive Selfservice Terminal,"UBX-310D-L0B0E,HIT-W121BP-APW1E,UTC-520FR-ATB0E",Advantech,W 200 x H 50 x D 150 mm,Intel Celeron J1900 Quad Core,4,Not available,"Single channel DDR3L 1333 MHz SDRAM, Max Capacity 8 GB, 1 x 204-pin SODIMM","2 x RS232/422/485 ports, 4 x USB 2.0 ports, 1 x LPT, 1 x RJ11 cash drawer, 2 x RJ45 LAN, 1 x VGA, 1 x HDMI, 1 x Line-out, 1 x Mic-in","Microsoft Windows 10, Windows Embedded POSReady 7, Windows 7 Pro Embedded, Windows 7 Pro Embedded 64-bit, Linux Kernel 3.10 and above","Operating Temperature: 0°C to 40°C (32°F to 104°F) with 1 inch hard disk, Storage Temperature: -20°C to 60°C (-4°F to 140°F), Relative Humidity: 95% @ 40°C (non-condensing), Vibration During Operation: 0.5 Grms (with HDD), Shock During Operation: 10 G (with HDD)","CCC, BSMI, CE, FCC, RoHS COMPLIANT","The UBXD is an intelligent fanless embedded system powered by an Intel Celeron J1900 Quad Core processor, featuring multiple I/O interfaces and suitable for various automation and self-service applications.","The UBXD is an intelligent fanless embedded system powered by an Intel Celeron J1900 Quad Core low power processor. It features multiple I/O interfaces, including USB, LAN, COM, and more. The system supports up to 8 GB of DDR3L memory and offers various storage options, including SATA HDD and mSATA SSD. It is designed for applications in factory automation, machine automation, retail kiosks, and self-service terminals.","The UBXD is an intelligent fanless embedded system powered by an Intel Celeron J1900 Quad Core low power processor. It features multiple I/O interfaces, including 2 x RS232/422/485 ports, 4 x USB 2.0 ports, 1 x LPT, 1 x RJ11 cash drawer, 2 x RJ45 LAN, 1 x VGA, 1 x HDMI, 1 x Line-out, and 1 x Mic-in. The system supports up to 8 GB of DDR3L 1333 MHz SDRAM and offers various storage options, including 1 x SATA HDD Bay and 1 x mSATA. It is designed for applications in factory automation, machine automation, retail kiosks, and self-service terminals. The UBXD supports multiple operating systems, including Microsoft Windows 10, Windows Embedded POSReady 7, Windows 7 Pro Embedded, Windows 7 Pro Embedded 64-bit, and Linux Kernel 3.10 and above. Environmental specifications include an operating temperature range of 0°C to 40°C (32°F to 104°F) with a 1 inch hard disk, storage temperature range of -20°C to 60°C (-4°F to 140°F), and relative humidity of 95% @ 40°C (non-condensing). The system is certified with CCC, BSMI, CE, FCC, and RoHS COMPLIANT standards."
JN Carrier Board,70788,Auvidea,Compact,NVIDIA Jetson Nano,Quad core,15 W,Not available,"USB, HDMI, Display Port, CSI, UART, GPIO, SPI, IC",Not available,"Wide temperature range, ruggedness, low failure rate",Not available,"Compact, low-cost carrier board for NVIDIA Jetson Nano with high computational performance.","The JN Carrier Board is a compact and low-cost solution designed specifically for the NVIDIA Jetson Nano compute module. It offers high computational performance with a quad-core ARM Cortex-A processor and NVIDIA Maxwell GPU with CUDA cores. The board supports easy integration with an aluminum case, USB OTG cable, and high-performance storage options.","The JN Carrier Board transforms the NVIDIA Jetson Nano compute module into a super mini computer, offering high computational performance with a quad-core ARM Cortex-A processor and NVIDIA Maxwell GPU with CUDA cores. It features a compact form factor, easy integration with an aluminum case, and supports various I/O interfaces including USB, HDMI, Display Port, CSI, UART, GPIO, SPI, and IC. The board is designed and manufactured by Auvidea in Germany, ensuring high quality and reliability. It is suitable for applications in industrial AI computers and digital signage systems."
Jackrabbit BL,20-101-0357,Digi International,Compact,Rabbit microprocessor operating at 22.1 MHz,Not available,Not available,"512K SRAM, 512K flash EPROM","CMOS-compatible I/O, analog channels, A/D input, PWM, D/A outputs, high-power outputs, RS-232, RS-485",Dynamic C,Operating Temperature: -40°C to +85°C,"CE, FCC Part 15 Class B","The Jackrabbit BL is a high-performance, C-programmable single-board computer with a Rabbit microprocessor operating at 22.1 MHz, featuring CMOS-compatible I/O, analog channels, and multiple serial communication ports.","The Jackrabbit BL is a high-performance, C-programmable single-board computer with a compact form factor. It features a Rabbit microprocessor operating at 22.1 MHz, providing fast data processing. The board includes CMOS-compatible I/O, analog channels, A/D input, PWM, D/A outputs, high-power outputs, and multiple serial communication ports (RS-232, RS-485). It comes with 512K SRAM and 512K flash EPROM. The Jackrabbit BL supports Dynamic C as its operating system and is CE and FCC Part 15 Class B certified. It operates within a temperature range of -40°C to +85°C.","The Jackrabbit BL is a high-performance, C-programmable single-board computer with a compact form factor. It features a Rabbit microprocessor operating at 22.1 MHz, providing fast data processing. The board includes CMOS-compatible I/O, analog channels, A/D input, PWM, D/A outputs, high-power outputs, and multiple serial communication ports (RS-232, RS-485). It comes with 512K SRAM and 512K flash EPROM. The Jackrabbit BL supports Dynamic C as its operating system and is CE and FCC Part 15 Class B certified. It operates within a temperature range of -40°C to +85°C. The development kit includes a prototyping board, Dynamic C development software, and various accessories to facilitate rapid and efficient design of embedded microprocessor-based systems. The board also features a real-time clock, watchdog supervisor, voltage regulator, and backup battery. The Jackrabbit BL is designed for use in a variety of applications, including industrial automation, data acquisition, and control systems."
Jaguar PCPlus Single Board Computer,EPM-CPU-10M,VersaLogic Corporation,"Two-board set, 5.75 x 8 inches","Intel Celeron 400 MHz, Intel Pentium III 700 MHz",dual-core,Not available,"Up to 512 MB low-power SDRAM, 144-pin SODIMM socket","Ethernet, dual USB, IDE, COM, LPT, floppy, keyboard, PS/2 mouse","Compatible with multiple operating systems including Windows, QNX, VxWorks, Linux","Operating Temperature: -40°C to +85°C (EPM-CPU-g/h/k), -20°C to +70°C (EPM-CPU-m); Storage Temperature: -40°C to +85°C; Humidity: Less than 95% non-condensing",RoHS,"Jaguar PCPlus Single Board Computer with Intel Celeron and Pentium III processors, high-speed I/O, and extended temperature versions.","The Jaguar PCPlus Single Board Computer is designed for projects requiring fast processing, compact size, flexible memory options, high reliability, and long-term availability. It features Intel Celeron and Pentium III processors, ATI Rage Mobility video processor, Fast Ethernet, USB ports, and up to 512 MB low-power system RAM. The board supports multiple operating systems and includes enhanced ESD protection, watchdog timer, and various I/O interfaces.","The Jaguar PCPlus Single Board Computer is a compact two-board set designed for high-speed processing and high reliability. It supports Intel Celeron and Pentium III processors with speeds up to 700 MHz. The board includes an ATI Rage Mobility video processor, Fast Ethernet, dual USB ports, and up to 512 MB of low-power SDRAM. It features enhanced ESD protection, a watchdog timer, and various I/O interfaces including IDE, COM, LPT, and floppy. The Jaguar is compatible with a wide selection of operating systems including Windows, QNX, VxWorks, and Linux. It is designed for extended temperature ranges and includes environmental stress screening and functional testing."
Jetson AGX Orin,"102110758,900-13701-0040-000",NVIDIA,100 mm x 87 mm x 16 mm,NVIDIA Orin SoC with Arm Cortex-A78AE CPU,12 cores,Up to 60W,32 GB LPDDR5,"USB 3.2, PCIe Gen4, HDMI, DP, Ethernet, UART, SPI, I2C, CAN",Linux,"Operating temperature: -25°C to 80°C, Storage temperature: -40°C to 85°C",Not available,NVIDIA Jetson AGX Orin is a high-performance system-on-module designed for AI and compute-intensive applications.,"The NVIDIA Jetson AGX Orin System-on-Module (SOM) blends industry-leading performance, power efficiency, and integrated deep learning capabilities. It is designed for a wide variety of applications requiring varying performance metrics.","The NVIDIA Jetson AGX Orin SOM is a high-performance, small-form-factor device that enables modular system design by mechanically isolating integrated components from external mechanical forces, standardizing thermal and mechanical interfaces, and exposing a comprehensive set of system peripheral interfaces via a pin board-to-board connector. It features an NVIDIA Orin SoC with an Arm Cortex-A78AE CPU, NVIDIA Ampere GPU, 32 GB LPDDR5 memory, and supports a wide range of I/O interfaces including USB 3.2, PCIe Gen4, HDMI, DP, Ethernet, UART, SPI, I2C, and CAN. The module is designed for applications requiring high AI performance and compute capabilities, with an operating temperature range of -25°C to 80°C and storage temperature range of -40°C to 85°C."
Jetson AGX Orin Developer Kit,110991725,NVIDIA,"Compact form factor, 110 mm x 110 mm x 72 mm",Arm Cortex-A78AE v8.2 64-bit CPU,12,"30W, 50W, 60W","32GB 256-bit LPDDR5, 204.8GB/s","PCIe Gen4, Gigabit Ethernet, USB 3.2, HDMI, MIPI CSI, UART, SPI, I2C, CAN, GPIO",Ubuntu with NVIDIA JetPack,Not available,Not available,"NVIDIA Jetson AGX Orin Developer Kit is a powerful AI edge computer designed for robotics and autonomous machines, offering up to 275 TOPS AI performance.","The NVIDIA Jetson AGX Orin Developer Kit provides a giant leap forward in robotics and edge AI with up to 275 TOPS AI performance. It is power configurable between 30W, 50W, and 60W, and supports multiple concurrent AI inference pipelines. The kit includes a compact form factor and is built on the new NVIDIA Ampere architecture, featuring 2048 NVIDIA CUDA cores and 64 Tensor Cores.","The NVIDIA Jetson AGX Orin Developer Kit is the newest member of the Jetson family, providing a significant advancement in robotics and edge AI. With up to 275 TOPS AI performance and power configurability between 30W, 50W, and 60W, it supports multiple concurrent AI inference pipelines and high-speed interfaces for multiple sensors. The kit features a compact form factor, built on the NVIDIA Ampere architecture with 2048 CUDA cores and 64 Tensor Cores. It includes 32GB of 256-bit LPDDR5 memory with 204.8GB/s bandwidth and 64GB eMMC storage. The developer kit supports the entire NVIDIA JetPack software platform, including use-case specific platforms like Isaac for robotics and Metropolis for smart cities."
