product_id,name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications,duplicate_ids
IW-G40M-OLPQ-4L002G-E016G-BIA,IMX M PLUS OSM LGA MODULE,IWAVE SYSTEMS TECHNOLOGIES,OSM V,False,ARM,Quad,NXP,,4 GB LPDDR4,16 GB eMMC,5V,"['Multiple interfaces including USB, PCIe, HDMI, MIPI CSI, LVDS']","Wi-Fi, Bluetooth",Linux,85°C,-40°C,RoHS,"Compact OSM LGA module with NXP iMX M Plus processor, supporting Wi-Fi and Bluetooth.","The iMX M Plus OSM LGA Module is a compact, versatile embedded system module featuring the NXP iMX M Plus processor. It supports a range of interfaces including USB, PCIe, HDMI, and MIPI CSI, and offers wireless connectivity with Wi-Fi and Bluetooth.","The iMX M Plus OSM LGA Module by iWave Systems Technologies is designed for high-performance, low-cost applications. It features the NXP iMX M Plus processor with ARM architecture, offering up to quad-core processing power. The module includes 4 GB LPDDR4 RAM and 16 GB eMMC storage, and supports a wide range of interfaces such as USB, PCIe, HDMI, and MIPI CSI. It is compliant with the OSM V specification and is suitable for industrial applications with an operating temperature range of -40°C to 85°C.","Industrial automation, portable and stationary embedded systems, IoT devices.","['IW-G40M-OLPQ-4L002G-E016G-BIA', 'IW-G40M-OLPQ-4L004G-E016G-BIA', 'IW-G40M-SCPQ-4L001G-E008G-BIA', 'IW-G40M-SCPQ-4L002G-E016G-BIA']"
AIMB-586QG2-00A1E,AIMB,ADVANTECH,MICRO ATX,False,x86,2 / 4,INTEL,65W / 35W,Up to 64GB DDR4 2666MHz,Hyper M.2 X16 Gen 4 Card with multiple M.2 slots,12V,"['6 Serial Ports', '8 USB Ports', '4 Ethernet Ports']",Intel Wi-Fi 6 AX200,"Linux, Microsoft Windows, SUSIAccess",60°C,0°C,FCC Class B,"AIMB is a Micro ATX motherboard designed for industrial applications with Intel Xeon and Core processors, offering rich I/O connectivity and enhanced power management.","The AIMB motherboard supports Intel's 8th generation Xeon E and Core i3 processors, featuring a Micro ATX form factor, quad GbE LAN, multiple PCIe slots, and extensive USB and serial connectivity, making it suitable for demanding industrial environments.","The AIMB motherboard by Advantech is engineered for industrial applications requiring high-performance computing and power management. It supports Intel Xeon E and Core i3 processors, with up to 64GB DDR4 memory. The board features a Micro ATX form factor, quad GbE LAN, multiple PCIe slots, and extensive USB and serial connectivity. It is designed to operate in temperatures ranging from 0°C to 60°C and complies with FCC Class B standards.","['Industrial Automation', 'Embedded Systems', 'High-Performance Computing']","['AIMB-586QG2-00A1E', 'AIMB-586WG2-00A1E']"
iW-G53S-OMUL-4D002G-E016G-BIA,RZGUL RZAUL RZFIVE BASED SBC,IWAVE SYSTEMS TECHNOLOGIES,SINGLE BOARD COMPUTER,False,ARM,4,RENESAS,,2 GB LPDDR4,16 GB eMMC,12V,['Not Available'],,"['Linux', 'Android']",85°C,-40°C,RoHS,"A versatile SBC based on Renesas RZGUL, RZAUL, and RZFIVE MPUs, designed for low power and high performance applications.","The RZGUL RZAUL RZFIVE based SBC is a compact, high-performance single board computer featuring Renesas MPUs, suitable for embedded systems requiring low power and cost efficiency.","The RZGUL RZAUL RZFIVE based SBC by iWave Systems Technologies is a small form factor board designed for industrial applications. It features a Renesas MPU with ARM architecture, 2 GB LPDDR4 RAM, and 16 GB eMMC storage. The board supports various interfaces including Gigabit Ethernet, USB, and MIPI CSI, making it ideal for a wide range of embedded applications.","['Industrial gateways', 'Control embedded devices', 'Portable and stationary embedded systems']","['iW-G53S-OMUL-4D002G-E016G-BIA', 'iW-G53S-OMFV-4D001G-E008G-BIA']"
SOM-4455R-L0A2E,AMD LX LVDS VT DEVELOPMENT BOARD,ADVANTECH,ETX,True,X86,,AMD,Up to 54W,Up to 1 GB DDR 333 MHz,Type II CF socket,"5V, 5VSB","['PCI', 'ISA', 'IDE', 'SATA', 'USB', 'Ethernet', 'COM', 'LPT', 'FDD']",,"['WinCE', 'Win XPE', 'QNX']",60°C,0°C,CE/FCC Class B,"The AMD LX LVDS VT Development Board is an ETX form factor board featuring an AMD Geode LX processor, supporting DDR memory and various I/O interfaces.","The AMD LX LVDS VT Development Board is designed for embedded applications, featuring an AMD Geode LX processor, DDR memory support, and a range of I/O interfaces including PCI, ISA, IDE, SATA, USB, and Ethernet. It supports multiple operating systems including WinCE, Win XPE, and QNX.","The AMD LX LVDS VT Development Board is an ETX form factor board equipped with an AMD Geode LX processor and AMD CS chipset. It supports up to 1 GB of DDR 333 MHz memory via a 200-pin SODIMM socket. The board includes integrated graphics with support for LVDS and TTL displays, and offers a variety of I/O options such as PCI, ISA, IDE, SATA, USB, and Ethernet. It is designed for fanless operation with a passive thermal solution and supports operating temperatures from 0°C to 60°C.","Embedded systems, industrial automation, and development environments.","['SOM-4455R-L0A2E', 'SOM-4455R-LSA2E', 'SOM-4455RL-L0A2E', 'SOM-4455RL-LSA2E', 'SOM-4455ZR-L0A2E', 'SOM-4455ZR-LSA2E', 'SOM-4455ZRL-L0A2E', 'SOM-4455ZRL-LSA2E']"
CM3-BT1-E3815,CMBT EXTREME RUGGED PCI SINGLE BOARD COMPUTER,ADLINK TECHNOLOGY,PCI,False,IA-32,Singlecore,INTEL,5W,Up to 8GB DDR3L 1333MHz,4GB solid state storage,ATX 12V,"['USB 2.0 x 4, USB 3.0 x 2, SATA 3Gb/s x 2, GPIO x 8']",,"['Windows 10 64-bit', 'Linux 64-bit', 'QNX', 'VxWorks']",85°C,-40°C,"['IEC 60068-2-27', 'IEC 60068-2-64', 'MIL-STD-810F']","Rugged PCI single board computer with Intel Atom processor, supporting extreme temperatures.","The CMBT Extreme Rugged PCI Single Board Computer features an Intel Atom Processor E Series SOC, supporting up to 8GB DDR3L memory, and is designed for extreme temperature environments.","The CMBT Extreme Rugged PCI Single Board Computer by ADLINK Technology is equipped with a single-core Intel Atom Processor E Series SOC. It supports up to 8GB DDR3L 1333MHz memory and features multiple I/O interfaces including USB, SATA, and GPIO. The board is designed to operate in extreme temperatures ranging from -40°C to 85°C, making it suitable for harsh environments. It supports various operating systems including Windows 10, Linux, QNX, and VxWorks. The board also includes features like Intel HD Audio, dual BIOS, and a watchdog timer.","['Industrial automation', 'Military applications', 'Embedded systems']",['CM3-BT1-E3815']
D:\mouser\mouser_devkit\QC-DB-M10023A,OPENQ 820A DEVELOPMENT KIT,INTRINSYC TECHNOLOGIES CORPORATION,EXPOSED BOARD,True,ARM,8,QUALCOMM TECHNOLOGIES INC,,3 GB LPDDR4 RAM,32 GB eMMC Flash,12 V,"['USB Type C', 'Debug UART', 'GPIO expansion header', 'SPI', 'I2C buses', 'Haptics output']","['Wi-Fi a/b/g/n/ac', 'Bluetooth BLE', 'GPS', 'GLONASS', 'Compass']",Android Oreo,+70 °C,-10 °C,Pre-certified Wi-Fi/BT module,"Cost-effective, feature-rich development kit powered by Qualcomm Snapdragon processor, ideal for AI-enabled home hub products.","The OpenQ 820A Development Kit is a cost-effective, feature-rich exposed board platform powered by the OpenQ 820A SOM based on the Snapdragon processor by Qualcomm Technologies Inc. It is ideal for evaluating the OpenQ 820A SOM and jumpstarting development of AI-enabled home hub products requiring tasks such as video conferencing, remote video monitoring, and movie/video streaming.","The OpenQ 820A Development Kit includes a carrier board and SOM with 3 GB LPDDR4 RAM and 32 GB eMMC Flash. It features a Qualcomm Snapdragon APQ8096 processor with an octa-core 64-bit ARM Cortex-A72 CPU and Qualcomm Adreno GPU. The kit supports audio with included microphones and stereo speaker amps, video options with camera accessory and LCD touch panel accessory, and wireless capabilities including Wi-Fi, Bluetooth, GPS, GLONASS, and Compass. It also offers generous IO expansion headers and supports Android Oreo.","['AI-enabled home hub products', 'Video conferencing', 'Remote video monitoring', 'Movie/video streaming']","['D:\\mouser\\mouser_devkit\\QC-DB-M10023A', 'QC-DB-M10023A']"
RSB-4220WS-MCA1E,RSB,ADVANTECH,SBC,False,ARM,2,TEXAS INSTRUMENTS,6W/6W/12W/9W/6W up to 45W,512 MB DDR3,"4 GB eMMC NAND Flash, 16 MB SPI NOR Flash",12 VDC,"['2 x Gigabit Ethernet, 4 x UART, 8 x GPIO, 1 x Mini PCIe, 1 x SD Slot']",WiFi and HSPA,Linux Kernel v4.1,85°C,-40°C,"['CE', 'FCC Class B', 'RoHS Compliant']","RSB series SBC with TI Sitara AM Cortex-A processor, ideal for industrial applications.","The RSB series SBC integrates a TI Sitara AM Cortex-A processor, offering multiple Ethernet ports, serial ports, GPIOs, and ESD protection, suitable for automation and industrial applications.","The RSB series single board computer features a TI Sitara AM Cortex-A processor, 512 MB DDR3 memory, 4 GB eMMC NAND Flash, and 16 MB SPI NOR Flash. It supports Linux Kernel v4.1 and operates in temperatures ranging from -40°C to 85°C. The board includes 2 Gigabit Ethernet ports, 4 UARTs, 8 GPIOs, and a Mini PCIe socket, making it ideal for industrial automation and control applications.","['Automation Control', 'Smart Grid', 'Industrial Machinery']",['RSB-4220WS-MCA1E']
HB05W-G-000-00-000-0,HUMMINGBOARD GATE,SOLIDRUN LTD,SBC,False,ARM,"Single, Dual, Quad",NXP,,Up to 4GB DDR3,eMMC,12V,"['RJ45, USB, mPCIe, SIM card holder, HDMI, MIPI-CSI, MIPI-DSI, GPIO']","WiFi, Bluetooth",Linux,70°C,-40°C,Microsoft Azure Certified,"The HummingBoard Gate is an NXP iMX-based SBC with integrated mikroBUS socket, suitable for modular products.","The HummingBoard Gate is a robust single board computer featuring NXP iMX processors with up to quad-core ARM Cortex-A architecture, integrated mikroBUS socket for easy hardware configuration, and support for various connectivity options.","The HummingBoard Gate by SolidRun is an embedded edge computing platform based on NXP's iMX processors. It offers a range of configurations with single, dual, and quad-core ARM Cortex-A processors, up to 4GB DDR3 memory, and eMMC storage. The board includes a mikroBUS socket for expansion with MikroElektronika's click boards, making it ideal for developers working on multipurpose modular products. It supports Linux operating systems and features a variety of I/O interfaces including RJ45, USB, HDMI, and more. The board is designed for both commercial and industrial temperature ranges.","Embedded systems, modular product development, industrial applications","['HB05W-G-000-00-000-0', 'SRMX6DLW00D01GE008G00CH', 'SRMX6DLW00D01GE008G00IH', 'SRMX6DLWT1D01GE008G00CH', 'SRMX6DUW00D01GE008G00CH', 'SRMX6DUW00D01GE008G00IH', 'SRMX6DUWT1D01GE008G00AH', 'SRMX6DUWT1D01GE008G00CH', 'SRMX6QDW00D02GE008G00AH', 'SRMX6QDW00D02GE008G00IH', 'SRMX6QDWT1D02GE008G00CH', 'SRMX6SOW00D512E008G00CH', 'SRMX6SOW00D512E008G00IH', 'SRMX6SOWT1D512E008G00CH']"
D:\mouser\mouser_devkit\CPU-301-16-02-DK01,CPU ULTRA LOW POWER SBCCOM,EUROTECH,COM,False,ARM,"1, 2, 4",NXP,,Up to 2GB DDR3L,Up to 64GB eMMC,12 VDC,"['Ethernet x2', 'USB x2', 'Serial x2', 'Digital IO x8', 'Video x1 HDMI']",IEEE 802.11 b/g/n and Bluetooth v2.1 + EDR,"['Linux', 'Windows Embedded Compact']",85 C,-40 C,"['RoHS', 'REACH']","Ultra low power CPU with NXP iMX technology, suitable for IoT and multimedia applications.","The CPU Ultra Low Power SBCCoM by Eurotech offers configurations with single, dual, and quad-core ARM Cortex-A processors, ideal for battery-operated and power-constrained devices. It supports HD multimedia playback and is rugged and efficient for IoT applications.","Eurotech's CPU Ultra Low Power SBCCoM is designed for flexible deployment in IoT and multimedia applications. It features NXP iMX processors with up to quad-core ARM Cortex-A architecture, up to 2GB DDR3L RAM, and up to 64GB eMMC storage. The product supports extended temperature ranges and offers a variety of I/O interfaces, including Ethernet, USB, and HDMI. It is compatible with Linux and Windows Embedded Compact operating systems.","['Retail kiosk displays', 'Medical equipment', 'Control panels', 'Fitness equipment']","['D:\\mouser\\mouser_devkit\\CPU-301-16-02-DK01', 'CPU-301-16-02-DK01', '900127-4402R', 'CPU-301-16-01', 'CPU-301-16-02', 'CPU-301-16-03']"
PCA-6010G2-00A1E,PCA,ADVANTECH,SBC,False,x86,2,INTEL,65W,4GB DDR2,CF socket,5V,"['6 USB, 4 COM, 2 SATA']",,,60°C,0°C,RoHS COMPLIANT,Intel Core Duo SBC with dual GbE and DVI support.,"The PCA is an Intel Core Duo SBC featuring dual GbE, DVI, and support for dual channel DDR2 memory.","The PCA SBC supports Intel Core Duo processors with a front side bus of 533 MHz. It includes dual channel DDR2 memory support up to 4GB, dual GbE LAN via PCIe x1 lane, and various I/O interfaces including USB, COM, and SATA ports. The board is RoHS compliant and suitable for industrial applications.","Industrial applications, embedded systems.","['PCA-6010G2-00A1E', 'PCA-6010VG-00A1E']"
SOM-DK2569-00A1,SMARC SOMDK EVALUATION KIT,ADVANTECH,SMARC,True,x86,4,INTEL,,4 GB LPDDR4,64 GB eMMC,12V,"['2x GbE', '4x USB 3.0', '2x USB 2.0', '1x SATA', '1x HDMI', '1x DP', '1x LVDS', '1x eDP', '1x PCIe x4', '1x PCIe x1', '1x Micro SD card slot', '1x GPIO', '1x SMBus', '1x I2C']","['Wi-Fi', 'Bluetooth']","['Windows 10 IoT Enterprise', 'WISE-PaaS/DeviceOn']",60°C,-20°C,,"The SMARC SOMDK Evaluation Kit is a versatile development platform featuring Intel Atom processors, dual-channel LPDDR4 memory, and extensive I/O options.","The SMARC SOMDK Evaluation Kit by Advantech is designed for developers to evaluate and prototype with Intel Atom E series processors. It includes dual-channel LPDDR4 memory, onboard eMMC storage, and a wide range of I/O interfaces including USB, Ethernet, and PCIe. The kit supports multiple display outputs and wireless connectivity options.","Advantech's SMARC SOMDK Evaluation Kit is a comprehensive platform for developing embedded applications. It features an Intel Atom E processor with four cores, 4 GB of LPDDR4 memory, and 64 GB of onboard eMMC storage. The kit supports a variety of interfaces such as USB 3.0, USB 2.0, SATA, HDMI, DP, LVDS, eDP, and PCIe. It also includes wireless capabilities with Wi-Fi and Bluetooth modules. The kit is suitable for a range of applications, offering robust performance and flexibility.","['Embedded systems development', 'Industrial automation', 'IoT applications', 'Prototyping and evaluation']",['SOM-DK2569-00A1']
MIO-2261N-S6A1E,MIO-2263,ADVANTECH,PICO-ITX,False,X86,2,INTEL,6W/10W/10W,"DDR3 1066 MHz, 4GB Max",mSATA,12V DC,"['VGA, LVDS, 2x GbE, HD Audio, 4x USB, 2x RS-232, mSATA, SATAII, Mini PCIe']","Bluetooth, GPRS, GSM, NFC","['Windows Embedded Standard', 'VxWorks', 'Linux Ubuntu']",60°C,-20°C,"CE, FCC","Pico-ITX SBC with Intel Atom Dual-Core N2600/N2800, rich I/O, and mSATA support.","The MIO-2263 is a compact Pico-ITX single board computer featuring Intel Atom Dual-Core processors, offering flexible I/O options including VGA, LVDS, GbE, and mSATA, suitable for embedded applications.","The MIO-2263 Pico-ITX SBC is powered by Intel Atom Dual-Core N2600/N2800 processors, supporting DDR3 memory up to 4GB. It features integrated Intel GMA graphics, dual display support, and a variety of I/O interfaces including VGA, LVDS, GbE, HD Audio, USB, RS-232, and mSATA. Designed for embedded applications, it supports multiple operating systems and offers robust performance in a compact form factor.","['Embedded Systems', 'Industrial Automation', 'Digital Signage', 'Kiosks']",['MIO-2261N-S6A1E']
1158231,BL BPC EWWT,PHOENIX CONTACT,Box PC,False,x86,4,INTEL,25 W,4 GB LPDDR4,"64 GB eMMC, 128 GB M.2 SSD",24 V DC,"['2 x DP, 4 x USB, 4 x COM ports']",Wi-Fi,Windows IoT Enterprise LTSC,60°C,-25°C,"['CE', 'FCC', 'EAC', 'RoHS', 'UL']","Fanless industrial box PC with Intel Celeron processor, 4 GB RAM, and multiple I/O interfaces.","The BL BPC EWWT is a robust, fanless industrial box PC designed for commercial applications. It features an Intel Celeron N processor, 4 GB LPDDR4 RAM, 64 GB eMMC, and 128 GB M.2 SSD storage. It supports Windows IoT Enterprise LTSC and offers extensive connectivity options including Wi-Fi, multiple USB and COM ports.","The BL BPC EWWT Box PC by Phoenix Contact is engineered for industrial environments, offering a fanless design with passive cooling. It is powered by an Intel Celeron N processor and equipped with 4 GB LPDDR4 RAM. Storage options include 64 GB eMMC and 128 GB M.2 SSD. The device supports Windows IoT Enterprise LTSC and features a variety of interfaces including DP, USB, and COM ports. It is CE, FCC, EAC, RoHS, and UL certified, ensuring compliance with international standards.","['Industrial automation', 'Data acquisition', 'Embedded control systems']","['1158231', '1158244']"
AIMB-706G2-00A2,AIMB,ADVANTECH,ATX,False,x86,4,INTEL,35W,"Dual Channel Non-ECC DDR3, Max Capacity 32GB",Supports 2242/2260/2280/22110 storage devices via M.2 slots,12V,"['VGA, DVI, USB 3.2 Gen 1, USB 2.0, RS-232, RS-422/485, PCIe x16, PCIe x4, PCI']",Wireless IoT Sensors,Windows 10 64-bit,60°C,0°C,,"Industrial motherboard with Intel Core processors, ATX form factor, and extensive I/O options.","The AIMB series industrial motherboards support Intel's 10th generation Core processors, featuring ATX form factor, dual channel DDR3 memory, and a variety of I/O interfaces including VGA, DVI, USB, and serial ports.","The AIMB industrial motherboard series by Advantech is designed for high-performance computing with Intel's 10th generation Core processors. It supports dual channel non-ECC DDR3 memory up to 32GB, and offers a wide range of connectivity options including VGA, DVI, USB 3.2 Gen 1, USB 2.0, RS-232, RS-422/485, PCIe x16, PCIe x4, and PCI slots. The board is suitable for various industrial applications, providing reliable performance and flexibility.","Industrial automation, embedded systems, and high-performance computing applications.",['AIMB-706G2-00A2']
conga-QMX8-Plusslashi-QC-2G eMMC16,CONGAQMXPLUS,CONGATEC,QSEVEN,True,ARM,4,NXP,,8 GB LPDDR4,16 GB eMMC,5V,"['2x Gbit Ethernet', '2x USB 3.0', '2x USB 2.0', '1x SDIO', '1x PCIe', '2x I2C', '1x SPI', '4x UART', '2x CAN FD', 'GPIOs']",,"['Linux', 'Yocto Project', 'Android']",85°C,-40°C,DIN EN ISO 9001,"Qseven module with NXP i.MX 8M Plus processor, featuring AI and machine learning capabilities.","The congaQMXPlus is a Qseven module powered by the NXP i.MX 8M Plus processor, designed for AI and machine learning applications. It offers a range of interfaces including Ethernet, USB, and PCIe, and supports multiple operating systems.","The congaQMXPlus is a high-performance Qseven module featuring the NXP i.MX 8M Plus processor with integrated NPU for enhanced AI and machine learning capabilities. It includes up to 8 GB of LPDDR4 memory and 16 GB of eMMC storage. The module supports a wide range of interfaces such as Ethernet, USB, PCIe, and more, making it suitable for various industrial applications. It operates in a temperature range of -40°C to 85°C, ensuring reliability in harsh environments.","['Industrial automation', 'AI and machine learning', 'Vision systems', 'IoT devices']","['conga-QMX8-Plusslashi-QC-2G eMMC16', 'conga-QMX8-Plusslashi-QC-4G eMMC16']"
G400D-SM-400,GD MODULE,GHI ELECTRONICS,SODIMM,True,ARM,,ATMEL,,16 MBytes DDR SDRAM,4 MBytes Serial Flash,3.3 V,"['Plenty essential peripherals: GPIO, SPI, UART, I2C, CAN, ADC, DAC, PWM']",WiFi,NET Micro Framework,,,RoHS Compliant,"GD Module with ARM EJS core, supports NET Micro Framework, WiFi, USB, and various peripherals.","The GD Module is a compact System on Module (SoM) featuring an ARM EJS core processor, 16 MBytes DDR SDRAM, and 4 MBytes Serial Flash. It supports the NET Micro Framework, providing high-level features such as a FAT file system, TCP/IP stack, and graphics capabilities. The module includes essential peripherals like GPIO, SPI, UART, I2C, CAN, ADC, DAC, and PWM, and supports WiFi and USB connectivity.","The GD Module is designed for embedded applications, offering a compact SODIMM form factor. It runs on an Atmel ATSAMX processor with a 200 MHz ARM EJS core, 16 MBytes of DDR SDRAM, and 4 MBytes of Serial Flash. The module supports the NET Micro Framework, enabling developers to utilize high-level features such as file systems, networking, and graphics. It includes a wide range of peripherals and interfaces, including GPIO, SPI, UART, I2C, CAN, ADC, DAC, PWM, and supports WiFi and USB connectivity. The module is RoHS compliant and suitable for various applications such as graphical HMIs, data loggers, IoT devices, and automation systems.","['Graphical Human Machine Interface', 'Data Logger', 'Handheld Testers', 'Internet of Things Applications', 'Networked Alarm Systems', 'Automation Applications', 'Controllers', 'Robotics']",['G400D-SM-400']
VL-EPM-39EBK,SANDCAT,VERSALOGIC,PCPLUS,False,X86,2,INTEL,,Up to 8GB DDR3L,mSATA support,5V,"['Four USB ports, One Ethernet port, Eight digital IO lines']",Supports WiFi modems,"['Windows', 'Windows Embedded', 'Linux', 'VxWorks', 'QNX']",85°C,-40°C,"['RoHS', 'EU Conflict Minerals compliant']","The SandCat is a low-power dual-core single board computer with PCPlus expansion interface, ideal for industrial applications.","The SandCat features a dual-core Intel Bay Trail processor, PCPlus expansion, and supports up to 8GB RAM. It is designed for harsh environments with a wide operating temperature range.","The SandCat is a robust single board computer featuring an Intel Bay Trail dual-core processor, PCPlus expansion, and a variety of onboard IO interfaces including USB and Ethernet. It supports up to 8GB DDR3L RAM and mSATA storage, making it suitable for industrial applications. The board is designed for long-term availability and operation in harsh environments, with compliance to MIL-STD-810G for shock and vibration.","['Industrial automation', 'Embedded computing', 'Harsh environment applications']",['VL-EPM-39EBK']
MYC-LT527M-16E2D-180-E,MYDLT DEVELOPMENT BOARD,MYIR ELECTRONICS LIMITED,SYSTEM-ON-MODULE,True,ARM,8,ALLWINNER,,2GB/4GB LPDDR4,8GB/16GB eMMC,12V,"['Multiple interfaces including USB, Ethernet, CAN, HDMI, and more']","['Wi-Fi', 'Bluetooth']","['Linux', 'Android', 'Ubuntu']",85°C,-40°C,,"The MYDLT Development Board is a high-performance evaluation platform featuring the Allwinner T octa-core ARM Cortex-A processor, suitable for industrial and automotive applications.","The MYDLT Development Board, manufactured by MYIR Electronics Limited, is designed for evaluating the MYCLT System-on-Module. It features an Allwinner T octa-core ARM Cortex-A processor, extensive I/O interfaces, and supports multiple operating systems including Linux, Android, and Ubuntu. The board is suitable for industrial and automotive applications, offering robust performance and a wide temperature range.","The MYDLT Development Board is a comprehensive evaluation platform for the MYCLT System-on-Module, featuring the Allwinner T series processor with an octa-core ARM Cortex-A architecture. It includes 2GB/4GB LPDDR4 memory, 8GB/16GB eMMC storage, and a wide range of I/O interfaces such as USB, Ethernet, CAN, HDMI, and more. The board supports Linux, Android, and Ubuntu operating systems, making it ideal for high-performance industrial and automotive applications. It operates within a temperature range of -40°C to 85°C, ensuring reliability in harsh environments.","['Industrial robots', 'Energy and electric power', 'Medical equipment', 'Display controller machines', 'Edge AI boxes', 'Vehicle terminals']","['MYC-LT527M-16E2D-180-E', 'MYC-LT527M-16E2D-180-I-G', 'MYC-LT527MN-16E2D-180-I-G', 'MYC-LT527MN-32E4D-180-I-G']"
SOM-4463D-S6A2E,SOM A,ADVANTECH,ETX,False,x86,"Single core for Atom N270, Dual core for Atom D510",INTEL,12W,"DDR2 667 MHz, Up to 2 GB",Up to 32GB eMMC 5.0 interface,"5V, 5VSB","['ISA', 'PCI', 'PATA', 'SATA II', 'USB', 'Audio', 'GPIO', 'COM Ports', 'FDD', 'LPT']",WiFi/BT kit package with Intel AC9260 802.11 ac/a/b/g/n + Bluetooth 5.0,Embedded OS,60°C,0°C,Certification ready wireless kit with Intel XMM7560 4G LTE CAT16,"ETX CPU module with Intel Atom processors, supporting DDR2 memory and multiple I/O interfaces.","The SOM A is an ETX form factor CPU module featuring Intel Atom processors, offering single and dual-core options. It supports DDR2 memory up to 2 GB and provides a wide range of I/O interfaces including ISA, PCI, SATA II, and USB.","The SOM A module is designed for embedded applications, featuring Intel Atom N270 and D510 processors. It supports DDR2 667 MHz memory up to 2 GB, and offers extensive connectivity options including ISA, PCI, SATA II, USB, and more. The module is suitable for various industrial applications with an operating temperature range of 0°C to 60°C.","Industrial applications, embedded systems","['SOM-4463D-S6A2E', 'SOM-4463N-S6A2E']"
cPCI-3520Dslash9850HLslashM16,CPCIHLMS,ADLINK TECHNOLOGY,COMPACTPCI,False,X86,,INTEL,,16GB DDR4 ECC,64GB SSD,,"['3x USB', '2x Ethernet', '1x DVI', '1x SATA']",,"['Microsoft Windows 10', 'Linux', 'Wind River VxWorks']",60°C,-20°C,"['CE', 'FCC']","CompactPCI blade with Intel Core i7 processor, 16GB DDR4 ECC memory, and multiple I/O options.","The CPCIHLMS is a CompactPCI blade featuring the Intel Core i7 processor, 16GB DDR4 ECC memory, and a variety of I/O interfaces including USB, Ethernet, and DVI. It supports multiple operating systems and is designed for robust industrial applications.","The CPCIHLMS CompactPCI blade from ADLINK Technology is equipped with a powerful Intel Core i7 processor and 16GB of DDR4 ECC memory, ensuring high performance and reliability. It offers extensive connectivity options with USB, Ethernet, DVI, and SATA interfaces. The blade supports a range of operating systems including Windows 10, Linux, and Wind River VxWorks, making it suitable for various industrial and commercial applications. It is compliant with CE and FCC certifications, ensuring safety and quality standards.","['Industrial Automation', 'Telecommunications', 'Data Acquisition']","['cPCI-3520Dslash9850HLslashM16', 'cPCI-3520Gslash9850HLslashM16G', 'cPCI-3520Lslash9850HLslashM16G', 'cPCI-3520slash2276MLslashM16G', 'cPCI-3520slash2276MLslashM16slashS128', 'cPCI-3520slash9850HLslashM16slashS32', 'cPCI-3520Sslash9850HLslashM16slashMS64,CC']"
MYS-8MMQ6-V2-8E2D-160-I-B,MYS-8MMX-VX,MYIR ELECTRONICS LIMITED,Single Board Computer,False,ARM,Quad-core,NXP,,2GB DDR4,"8GB eMMC Flash, 32MB QSPI Flash",5V,"['1x Gigabit Ethernet', '2x USB Host Type-A', '1x USB OTG Type-C', '1x Micro SD Card Slot', '1x MIPI-CSI Camera Interface', '1x LVDS Interface', '1x HDMI Output', '1x NVMe PCIe M.2 SSD Slot', '1x Debug Serial Port', '1x RTC Battery Interface', '3x Buttons', '2x LEDs', '1x Expansion Interface']","Wi-Fi, Bluetooth","['Yocto Linux', 'Ubuntu Linux']",85°C,-40°C,,"Compact single board computer with NXP i.MX 8M Mini processor, suitable for industrial IoT applications.","The MYS-8MMX-VX is a compact single board computer powered by NXP's i.MX 8M Mini processor, featuring a quad-core ARM Cortex-A53 CPU and a Cortex-M4 coprocessor. It supports a wide range of peripherals and interfaces, making it ideal for industrial IoT applications.","The MYS-8MMX-VX single board computer by MYIR Electronics Limited is designed for industrial IoT applications. It features the NXP i.MX 8M Mini processor with a quad-core ARM Cortex-A53 CPU and a Cortex-M4 coprocessor. The board includes 2GB DDR4 RAM, 8GB eMMC Flash, and 32MB QSPI Flash. It offers extensive connectivity options including Gigabit Ethernet, USB, HDMI, and wireless capabilities with Wi-Fi and Bluetooth. The board supports operating temperatures from -40°C to 85°C and runs on Yocto and Ubuntu Linux.","['Industrial IoT', 'Consumer Electronics', 'Industrial Automation', 'Smart Healthcare', 'Security Monitoring']","['MYS-8MMQ6-V2-8E2D-160-I-B', 'MYS-8MMQ6-V2-8E2D-160-I', 'MYS-8MMQ6-V2-8E2D-180-C-B', 'MYS-8MMQ6-V2-8E2D-180-C']"
